Rank,Player,Position,Nation Code,Nation,Club,Age,Born,Matches Played,Starts,Minutes Played,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalties Scored,Penalties Attempted,Yellow Cards,Red Cards,Goals per 90,Assists per 90,G+A per 90,Shots,Shots on Target,Tackles Won,Interceptions,Score,Dream XI
13,Manuel Akanji,DF,ch,Switzerland,Inter,30,1995,6,6,600,6.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,1,9,6,0.5164,No
14,Mikel Oyarzabal,FW,es,Spain,Real Sociedad,29,1997,7,7,540,6.0,5,1,6,4,1,1,0,0,0.83,0.17,1.0,23,12,5,1,0.5117,No
15,Douglas Santos,DF,br,Brazil,Zenit,32,1994,5,5,441,4.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,2,0,10,6,0.4927,No
16,Jude Bellingham,MF,eng,England,Real Madrid,23,2003,7,7,602,6.7,6,1,7,6,0,0,1,0,0.9,0.15,1.05,19,13,10,3,0.4922,Yes
17,Rayan Aït-Nouri,DF,dz,Algeria,Manchester City,25,2001,4,3,284,3.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,13,5,0.4913,No
18,Juan Cáceres,DF,py,Paraguay,Dynamo Moskva,26,2000,5,5,436,4.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,2,1,11,5,0.4904,No
19,Marvin Senaya,DF,gh,Ghana,Auxerre,25,2001,4,4,278,3.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,0,12,6,0.4904,No
20,Timothy Castagne,DF,be,Belgium,Fulham,30,1995,6,5,478,5.3,0,1,1,0,0,0,1,0,0.0,0.19,0.19,3,1,7,8,0.4826,No
21,Mohamed Hany,DF,eg,Egypt,Al Ahly,30,1996,5,5,480,5.3,0,1,1,0,0,0,0,0,0.0,0.19,0.19,4,0,9,6,0.4815,No
22,Michael Olise,MF,fr,France,Bayern Munich,24,2001,7,7,556,6.2,0,5,5,0,0,0,1,0,0.0,0.81,0.81,20,5,8,3,0.4806,Yes
23,Lisandro Martínez,DF,ar,Argentina,Manchester Utd,28,1998,6,6,581,6.5,1,1,2,1,0,0,1,0,0.15,0.15,0.31,4,2,7,6,0.4659,No
24,Ezri Konsa,DF,eng,England,Aston Villa,28,1997,7,6,557,6.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,2,5,8,0.4606,No
25,Djed Spence,DF,eng,England,Tottenham,25,2000,7,3,314,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,2,10,5,0.4325,No
26,Denis Zakaria,DF,ch,Switzerland,Monaco,29,1996,4,4,357,4.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,5,2,5,9,0.4258,No
27,Jules Koundé,DF,fr,France,Barcelona,27,1998,7,7,598,6.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,0,8,3,0.4233,No
28,Merchas Doski,DF,iq,Iraq,Viktoria Plzeň,26,1999,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1,0,9,6,0.4206,No
29,Vinicius Júnior,FW,br,Brazil,Real Madrid,26,2000,5,5,440,4.9,4,1,5,4,0,0,0,0,0.82,0.2,1.02,17,11,1,1,0.4197,No
30,Stefan Posch,DF,at,Austria,Mainz 05,29,1997,4,4,331,3.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,3,0,4,10,0.4191,No
31,Kristoffer Ajer,DF,no,Norway,Brentford,28,1998,5,5,480,5.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,2,1,8,4,0.4124,No
32,Júnior Alonso,DF,py,Paraguay,Atlético Mineiro,33,1993,5,4,390,4.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,3,1,9,4,0.4088,No
33,Krépin Diatta,DF,sn,Senegal,Monaco,27,1999,4,4,390,4.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,10,3,0.4079,No
34,Ousmane Dembélé,MF,fr,France,PSG,29,1997,7,7,547,6.1,5,2,7,5,0,0,0,0,0.82,0.33,1.15,20,10,2,0,0.4067,Yes
35,Alex Freeman,DF,us,United States,Villarreal,21,2004,5,4,374,4.2,1,1,2,1,0,0,0,0,0.24,0.24,0.48,4,1,6,7,0.4066,No
36,Gideon Mensah,DF,gh,Ghana,Auxerre,27,1998,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,5,8,0.4034,No
37,Ramy Bensebaini,DF,dz,Algeria,Dortmund,31,1995,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,0,6,7,0.4025,No
38,Ricardo Rodríguez,DF,ch,Switzerland,Real Betis,33,1992,6,6,517,5.7,0,1,1,0,0,0,0,0,0.0,0.17,0.17,1,0,7,4,0.4006,No
39,Nahuel Molina,DF,ar,Argentina,Atlético Madrid,28,1998,6,5,465,5.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,3,8,0.3889,No
40,Pico,DF,cv,Cabo Verde,Shamrock,34,1992,4,4,390,4.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,0,5,7,0.3888,No
41,Elliot Anderson,MF,eng,England,Nottingham,23,2002,7,7,620,6.9,0,1,1,0,0,0,1,0,0.0,0.15,0.15,7,1,18,8,0.3832,No
42,Bruno Guimarães,MF,br,Brazil,Newcastle,28,1997,5,5,416,4.6,0,4,4,0,0,1,0,0,0.0,0.87,0.87,8,2,6,2,0.3736,No
43,Richie Laryea,DF,ca,Canada,Toronto FC,31,1995,5,5,429,4.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,2,1,9,2,0.3734,No
44,Alexis Mac Allister,MF,ar,Argentina,Liverpool,27,1998,7,6,630,7.0,1,1,2,1,0,0,0,0,0.14,0.14,0.29,13,4,12,9,0.3688,No
45,Martin Ødegaard,MF,no,Norway,Arsenal,27,1998,5,5,470,5.2,0,4,4,0,0,0,0,0,0.0,0.77,0.77,9,3,4,3,0.3681,No
46,Pau Cubarsí,DF,es,Spain,Barcelona,19,2007,7,7,630,7.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,4,2,4,4,0.3659,No
47,Noussair Mazraoui,DF,ma,Morocco,Manchester Utd,28,1997,6,5,477,5.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,8,2,0.3648,No
48,Diney,DF,cv,Cabo Verde,Al Bataeh,31,1995,4,4,390,4.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,4,2,7,4,0.3638,No
49,Nico Elvedi,DF,ch,Switzerland,Gladbach,29,1996,6,6,600,6.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,3,0,2,6,0.3589,No
50,Yazan Al-Arab,DF,jo,Jordan,FC Seoul,30,1996,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,1,11,0.3573,No
51,Aaron Wan-Bissaka,DF,cd,Congo DR,West Ham,28,1997,4,4,354,3.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,4,7,0.3558,No
52,Brahim Díaz,MF,ma,Morocco,Real Madrid,26,1999,6,6,457,5.1,0,4,4,0,0,0,0,0,0.0,0.79,0.79,6,1,2,4,0.3528,No
53,Ali Abdi,DF,tn,Tunisia,Nice,32,1993,3,3,269,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,8,4,0.3511,No
54,Nathan Ngoy,DF,be,Belgium,Lille,23,2003,4,4,335,3.7,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1,0,4,7,0.3503,No
55,Brandon Mechele,DF,be,Belgium,Club Brugge,33,1993,6,6,570,6.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,5,1,4,4,0.3485,No
56,Daniel Muñoz,DF,co,Colombia,Crystal Palace,30,1996,5,4,394,4.4,2,0,2,2,0,0,0,0,0.46,0.0,0.46,3,2,3,7,0.3449,No
57,Nikola Katić,DF,ba,Bosnia–Herz,Schalke 04,29,1996,4,4,317,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,2,0,6,5,0.3434,No
58,Yasser Ibrahim,DF,eg,Egypt,Al Ahly,33,1993,5,4,467,5.2,1,0,1,1,0,0,2,0,0.19,0.0,0.19,1,1,6,3,0.3403,No
59,Willian Pacho,DF,ec,Ecuador,PSG,24,2001,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,1,2,8,0.3359,No
60,Josip Šutalo,DF,hr,Croatia,Ajax,26,2000,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,4,6,0.3342,No
61,Gustaf Lagerbielke,DF,se,Sweden,Braga,26,2000,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,1,5,5,0.3334,No
62,Nicolás Tagliafico,DF,ar,Argentina,Lyon,33,1992,6,4,356,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,4,6,0.333,No
63,Torbjørn Heggem,DF,no,Norway,Bologna,27,1999,5,5,443,4.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,1,7,2,0.3325,No
64,Antonee Robinson,DFMF,us,United States,Fulham,28,1997,4,4,348,3.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,4,6,0.3307,No
65,Marc Guéhi,DF,eng,England,Manchester City,26,2000,7,6,574,6.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1,0,1,6,0.3288,No
66,Saud Abdulhamid,DF,sa,Saudi Arabia,Lens,26,1999,3,3,269,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,2,0,9,2,0.327,No
67,Danilo,DF,br,Brazil,Flamengo,35,1991,5,4,405,4.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,1,0,2,7,0.3256,No
68,Anthony Gordon,MF,eng,England,Barcelona,25,2001,6,5,396,4.4,1,3,4,1,0,0,0,0,0.23,0.68,0.91,6,4,3,3,0.3248,No
69,Davinson Sánchez,DF,co,Colombia,Galatasaray,30,1996,5,5,480,5.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,6,2,2,6,0.324,No
70,Issa Diop,DF,ma,Morocco,Fulham,29,1997,5,5,476,5.3,1,0,1,1,0,0,3,0,0.19,0.0,0.19,1,1,1,7,0.3237,No
71,Nico O'Reilly,DF,eng,England,Manchester City,21,2005,7,5,461,5.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,7,1,3,5,0.3177,No
72,Alessandro Circati,DF,au,Australia,Parma,22,2003,4,4,390,4.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,3,0,7,2,0.3171,No
73,Alistair Johnston,DF,ca,Canada,Celtic,27,1998,5,5,450,5.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,5,2,2,6,0.3153,No
74,Cristiano Ronaldo,FW,pt,Portugal,Al-Nassr,41,1985,5,5,440,4.9,3,0,3,2,1,1,0,0,0.61,0.0,0.61,18,9,1,1,0.3153,No
