,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,-additional
Rk,Player,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,-9999
58,Michael Amir Murillo,DFMF,pa Panama,30-156,1996,3.0,0,0,0,1,7,1,8,1,3,,,0,Matches,349cae8f
59,Nadiem Amiri,MF,de Germany,29-263,1996,0.5,0,0,0,0,0,0,2,0,1,,,0,Matches,555d5edd
60,Amir Al Ammari,MF,iq Iraq,28-355,1997,2.7,2,0,0,3,0,0,8,2,1,,,0,Matches,9f65be73
61,Azizbek Amonov,FW,uz Uzbekistan,28-260,1997,0.2,0,0,0,0,0,0,1,0,0,,,0,Matches,f487314f
62,Mohamed Amoura,FWMF,dz Algeria,26-069,2000,0.3,0,0,0,1,0,0,0,0,0,,,0,Matches,6597f8b6
63,Sofyan Amrabat,MF,ma Morocco,29-330,1996,1.6,0,0,0,4,2,0,0,2,1,,,0,Matches,5a2cb25d
64,Abdulelah Al-Amri,DF,sa Saudi Arabia,29-183,1997,2.7,1,0,0,1,0,0,1,4,2,,,0,Matches,fd0affe3
65,Youssef Amyn,MF,iq Iraq,22-330,2003,0.3,0,0,0,0,0,0,0,0,0,,,0,Matches,10c12f22
66,Elliot Anderson,MF,eng England,23-253,2002,6.9,1,0,0,9,13,0,8,8,17,,,0,Matches,de31038e
67,Andrés Andrade Cedeño,DF,pa Panama,27-274,1998,3.0,1,0,0,4,0,0,8,3,3,,,0,Matches,6ea23758
68,Fredrik André Bjørkan,DF,no Norway,27-330,1998,0.5,0,0,0,0,0,0,0,2,1,,,0,Matches,3724baa1
69,Nilson Angulo,MF,ec Ecuador,23-028,2003,2.4,0,0,0,4,3,0,5,2,1,,,0,Matches,a9b9d89c
70,Waldemar Anton,DFMF,de Germany,29-362,1996,0.6,0,0,0,3,1,1,1,2,1,,,0,Matches,5e66fa06
71,Jeremy Antonisse,FWMF,cw Curaçao,24-110,2002,0.8,0,0,0,0,0,0,8,0,1,,,0,Matches,6011e63a
72,Houssem Aouar,MF,dz Algeria,28-017,1998,1.9,0,0,0,1,2,0,0,0,1,,,0,Matches,a5db0bec
73,Oswin Appollis,MFFW,za South Africa,24-326,2001,2.8,0,0,0,1,2,0,8,1,3,,,0,Matches,e8933eb0
74,Yazan Al-Arab,DF,jo Jordan,30-167,1996,3.0,1,0,0,4,0,0,0,11,1,,,1,Matches,32878a09
75,Maxi Araújo,FWMF,uy Uruguay,26-152,2000,2.8,0,0,0,2,7,6,18,0,0,,,0,Matches,f9ab3f4a
76,Tomás Araújo,DF,pt Portugal,24-062,2002,1.0,1,0,0,1,0,0,0,1,0,,,0,Matches,0fa11d7d
77,Telmo Arcanjo,MF,cv Cabo Verde,25-026,2001,0.6,0,0,0,0,1,0,1,0,0,,,0,Matches,c692cef2
78,Álex Arce,FW,py Paraguay,31-031,1995,0.6,1,0,0,1,0,0,0,0,1,,,0,Matches,10411db2
79,Carlens Arcus,MFDF,ht Haiti,30-019,1996,1.6,1,0,0,5,3,2,2,3,3,,,0,Matches,5e837126
80,Max Arfsten,MF,us United States,25-089,2001,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches,668f881e
81,Jhon Arias,MF,co Colombia,28-299,1997,4.2,1,0,0,5,2,0,5,2,9,,,0,Matches,86d96066
82,Santiago Arias,DF,co Colombia,34-185,1992,1.0,0,0,0,1,0,0,2,1,2,,,0,Matches,fdd60087
83,Marko Arnautović,FW,at Austria,37-089,1989,1.6,1,0,0,3,1,5,0,0,0,,,0,Matches,00459419
84,Benjamin Asare,GK,gh Ghana,34-004,1992,2.5,0,0,0,0,1,0,0,0,0,,,0,Matches,4bb65492
85,Emam Ashour,MF,eg Egypt,28-147,1998,4.0,0,0,0,2,13,0,4,4,2,,,0,Matches,31b7d437
86,Rustam Ashurmatov,DF,uz Uzbekistan,30-010,1996,2.8,0,0,0,1,0,0,0,7,2,,,0,Matches,a0ecd397
87,Lawrence Ati-Zigi,GK,gh Ghana,29-230,1996,1.5,0,0,0,0,1,0,0,0,0,,,0,Matches,a12402c3
88,Marwan Attia,MF,eg Egypt,27-339,1998,4.8,2,0,0,8,1,0,11,3,3,,,0,Matches,1ea3d7ec
89,Fredrik Aursnes,MFDF,no Norway,30-219,1995,3.4,0,0,0,5,3,0,5,1,8,,,0,Matches,f0677ed7
90,Gabriel Ávalos,FW,py Paraguay,35-278,1990,1.6,0,0,0,1,2,0,0,0,2,,,0,Matches,b6781b67
91,Yasin Ayari,MF,se Sweden,22-284,2003,3.8,1,0,0,4,8,0,19,3,4,,,0,Matches,f173303a
92,Oğuz Aydın,DF,tr Türkiye,25-263,2000,1.0,0,0,0,0,2,0,3,0,6,,,0,Matches,a7b98226
93,Jordan Ayew,FW,gh Ghana,34-309,1991,3.3,0,0,0,7,7,1,10,1,3,,,0,Matches,da052c14
94,Kaan Ayhan,DFMF,tr Türkiye,31-249,1994,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches,2200181e
