,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,-additional
Rk,Player,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,-9999
198,Mojmír Chytil,FW,cz Czechia,27-079,1999,0.1,0,0,0,1,0,0,0,0,0,,,0,Matches,01a08323
199,Brian Cipenga,MFFW,cd Congo DR,28-128,1998,1.6,0,0,0,2,1,1,9,0,2,,,0,Matches,e4787d6f
200,Alessandro Circati,DF,au Australia,22-280,2003,4.3,1,0,0,5,4,0,2,2,7,,,0,Matches,1223765c
201,Pathé Ciss,DF,sn Senegal,32-123,1994,2.0,0,0,0,1,0,0,0,0,0,,,0,Matches,9a0408b6
202,Livano Comenencia,MF,cw Curaçao,22-164,2004,2.6,1,0,0,4,1,0,1,11,1,,,0,Matches,c9d96dc1
203,Eray Cömert,DF,ch Switzerland,28-163,1998,0.3,0,0,0,0,0,0,0,0,0,,,0,Matches,15937e17
204,Francisco Conceição,MF,pt Portugal,23-215,2002,1.4,0,0,0,1,2,1,3,0,2,,,0,Matches,5ef3d210
205,Jhon Córdoba,FW,co Colombia,33-067,1993,1.1,0,0,0,1,2,2,0,0,0,,,0,Matches,9f381d8b
206,José Córdoba,DF,pa Panama,25-133,2001,3.0,0,0,0,5,1,0,1,1,3,,,0,Matches,bec98750
207,Derek Cornelius,DF,ca Canada,28-234,1997,3.5,1,0,0,4,3,0,1,2,3,,,0,Matches,577744b8
208,Diogo Costa,GK,pt Portugal,26-301,1999,5.0,0,0,0,0,1,0,0,0,0,,,0,Matches,93fffbcf
209,Nuno da Costa,FW,cv Cabo Verde,35-157,1991,1.8,0,0,0,0,3,0,1,1,2,,,0,Matches,909222de
210,Samu Costa,MF,pt Portugal,25-232,2000,0.2,0,0,0,0,0,0,0,0,1,,,0,Matches,76c2a023
211,Vladimír Coufal,MFDF,cz Czechia,33-329,1992,3.0,0,0,0,4,3,1,20,2,1,,,0,Matches,fdf3cb77
212,Thibaut Courtois,GK,be Belgium,34-067,1992,6.1,0,0,0,0,0,0,0,0,0,,,0,Matches,1840e36d
213,Maxime Crépeau,GK,ca Canada,32-067,1994,5.0,0,0,0,1,1,0,0,0,1,,,0,Matches,ea42e480
214,Max Crocombe,GK,nz New Zealand,32-339,1993,3.0,0,0,0,0,1,0,0,0,0,,,0,Matches,fdf47077
215,Pau Cubarsí,DF,es Spain,19-176,2007,7.0,1,0,0,4,2,0,1,4,3,,,0,Matches,cc7888f3
216,Andrés Cubas,MF,py Paraguay,30-056,1996,5.3,1,0,0,14,3,0,0,11,13,,,0,Matches,9b40a6ea
217,Cucho,FWMF,co Colombia,27-088,1999,0.6,0,0,0,0,1,0,1,0,0,,,0,Matches,71b47ab9
218,Marc Cucurella,DF,es Spain,27-360,1998,7.0,1,0,0,7,3,3,11,5,4,,,0,Matches,1daec722
219,Matheus Cunha,FW,br Brazil,27-051,1999,3.2,0,0,0,1,3,1,4,3,3,,,0,Matches,dc62b55d
220,Findlay Curtis,MF,sct Scotland,19-289,2006,0.1,1,0,0,1,0,0,1,0,0,,,0,Matches,e2a68b89
221,Aymen Dahmen,GK,tn Tunisia,29-170,1997,2.0,0,0,0,0,1,0,0,0,0,,,0,Matches,8bf49030
222,Diogo Dalot,DFMF,pt Portugal,27-121,1999,0.7,0,0,0,0,1,0,1,0,2,,,0,Matches,d9565625
223,Danilo,DF,br Brazil,35-002,1991,4.5,2,0,0,7,1,1,10,7,2,,,0,Matches,94b2001f
224,Kevin Danso,DF,at Austria,27-301,1998,2.7,0,0,0,1,2,0,1,0,1,,,0,Matches,6e33125f
225,Vladimír Darida,MF,cz Czechia,35-343,1990,0.6,0,0,0,0,1,0,0,1,0,,,0,Matches,3eb0f2df
226,Jonathan David,FW,ca Canada,26-184,2000,4.7,1,0,0,5,5,0,3,3,1,,,0,Matches,ce50fd99
227,Promise David,FW,ca Canada,25-014,2001,0.9,0,0,0,4,2,0,0,1,1,,,0,Matches,dbe19468
228,Alphonso Davies,DFFW,ca Canada,25-257,2000,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches,d781d855
229,Erick Davis,DF,pa Panama,35-108,1991,0.0,0,0,0,0,1,0,2,0,1,,,0,Matches,2ffb0739
230,Nasser Al-Dawsari,MF,sa Saudi Arabia,27-210,1998,2.3,1,0,0,7,2,0,1,4,4,,,0,Matches,7709e4a6
231,Salem Al-Dawsari,MF,sa Saudi Arabia,34-332,1991,2.7,1,0,0,3,4,1,3,1,1,,,0,Matches,60ee859c
232,Mohammad Al-Dawud,FWMF,jo Jordan,34-096,1992,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches,e645c3fc
233,Kevin De Bruyne,MF,be Belgium,35-019,1991,4.2,1,0,0,2,4,0,21,0,2,,,0,Matches,e46012d4
234,Maxim De Cuyper,DF,be Belgium,25-207,2000,4.9,1,0,0,7,2,0,12,6,2,,,0,Matches,d494882e
235,Luc De Fougerolles,DF,ca Canada,20-278,2005,4.1,2,0,0,8,8,0,1,2,6,,,0,Matches,45c427ff
236,Charles De Ketelaere,FWMF,be Belgium,25-129,2001,3.9,0,0,0,2,3,2,3,5,4,,,0,Matches,2ef7c612
237,Nicolás De La Cruz,MF,uy Uruguay,29-046,1997,1.0,1,0,0,2,3,0,5,2,1,,,0,Matches,8fda5c72
238,Rodrigo De Paul,MF,ar Argentina,32-054,1994,4.7,1,0,0,2,4,1,13,6,4,,,0,Matches,162efffd
239,Amar Dedić,DF,ba Bosnia–Herz,23-333,2002,3.0,1,0,0,6,3,0,0,1,7,,,0,Matches,bc6e544a
240,Louicius Deedson,MF,ht Haiti,25-156,2001,1.2,0,0,0,3,1,1,4,1,0,,,0,Matches,f7059bb1
241,Hannes Delcroix,DF,ht Haiti,27-139,1999,3.0,0,0,0,1,2,0,0,4,3,,,0,Matches,b737f944
242,Ousmane Dembélé,MF,fr France,29-063,1997,6.1,0,0,0,0,3,2,32,0,2,,,0,Matches,b19db005
243,Merih Demiral,DF,tr Türkiye,28-134,1998,2.0,0,0,0,2,1,3,1,1,1,,,0,Matches,e3cceee6
244,Ermedin Demirović,FW,ba Bosnia–Herz,28-114,1998,3.9,1,0,0,11,3,1,0,1,1,,,0,Matches,ed79b7d3
245,Sergiño Dest,MF,us United States,25-256,2000,3.3,0,0,0,2,4,0,3,5,1,,,0,Matches,5976f83e
246,Frans Dhia Putros,DF,iq Iraq,33-003,1993,1.0,0,0,0,2,0,0,1,2,2,,,0,Matches,0102aa7e
247,Oumar Diakité,FW,ci Côte d'Ivoire,22-209,2003,0.3,0,0,0,0,0,0,1,0,1,,,0,Matches,44435c8f
248,Amad Diallo,MFFW,ci Côte d'Ivoire,24-006,2002,2.1,0,0,0,0,2,1,4,2,4,,,0,Matches,9dc96f10
249,Assane Diao,MF,sn Senegal,20-313,2005,0.1,0,0,0,0,0,0,0,0,1,,,0,Matches,8ae7d0ec
250,Habib Diarra,MF,sn Senegal,22-195,2004,1.6,0,0,0,2,2,0,1,1,2,,,0,Matches,6d0fe035
251,Rúben Dias,DF,pt Portugal,29-064,1997,4.0,1,0,0,6,3,0,0,5,3,,,0,Matches,31c69ef1
252,Krépin Diatta,DF,sn Senegal,27-142,1999,4.3,0,0,0,4,6,0,12,3,10,,,0,Matches,8104e41e
253,Mory Diaw,GK,sn Senegal,33-025,1993,2.6,0,0,0,0,2,0,0,0,0,,,0,Matches,f41a69e6
254,Brahim Díaz,MF,ma Morocco,26-348,1999,5.1,0,0,0,3,10,0,8,4,2,,,0,Matches,407feb71
255,Ismael Díaz,FWMF,pa Panama,29-066,1997,0.4,0,0,0,0,0,2,0,0,1,,,0,Matches,f2a276d1
256,Luis Díaz,FWMF,co Colombia,29-185,1997,5.3,0,0,0,7,9,9,4,1,0,,,0,Matches,4a1a9578
257,Bamba Dieng,FW,sn Senegal,26-116,2000,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches,40774c6b
258,Lucas Digne,DF,fr France,32-362,1993,4.6,0,0,0,5,2,0,14,1,3,,,0,Matches,1b84dbe1
259,Diney,DF,cv Cabo Verde,31-181,1995,4.3,1,0,0,2,0,0,0,4,7,,,1,Matches,d2e33ba2
260,Ousmane Diomande,DF,ci Côte d'Ivoire,22-225,2003,1.0,0,0,0,0,0,0,0,1,0,,,0,Matches,394be156
261,Yan Diomandé,MFFW,ci Côte d'Ivoire,19-245,2006,3.7,0,0,0,2,7,0,14,4,6,,,0,Matches,919f5f54
262,Issa Diop,DF,ma Morocco,29-189,1997,5.3,3,0,0,4,1,0,0,7,1,,,0,Matches,a712ca2b
263,El Hadji Malick Diouf,DF,sn Senegal,21-201,2004,1.9,0,0,0,2,0,0,8,1,1,,,0,Matches,bd5eb2e5
264,Ritsu Doan,MF,jp Japan,28-031,1998,3.1,0,0,0,6,4,0,5,1,1,,,0,Matches,d01bbb6f
265,Jeremy Doku,MF,be Belgium,24-051,2002,3.4,0,0,0,4,18,0,6,3,1,,,0,Matches,fffea3e5
266,Merchas Doski,DF,iq Iraq,26-222,1999,3.0,1,0,0,3,8,0,4,6,9,,,0,Matches,fdf4cfe5
267,David Douděra,MF,cz Czechia,28-047,1998,1.0,0,0,0,0,1,0,5,1,0,,,0,Matches,e95b4604
268,Désiré Doué,MF,fr France,21-044,2005,3.9,0,0,0,3,6,0,3,2,6,,,0,Matches,9e7483ff
269,Guéla Doué,DF,ci Côte d'Ivoire,23-273,2002,3.1,1,0,0,6,5,0,12,3,5,,,0,Matches,b4ef3fb5
270,Deroy Duarte,MF,cv Cabo Verde,27-013,1999,2.9,0,0,0,4,1,0,1,6,5,,,0,Matches,6af8fc5b
271,Laros Duarte,MF,cv Cabo Verde,29-139,1997,1.8,0,0,0,0,2,0,2,2,1,,,0,Matches,4af3d3c8
272,Denzel Dumfries,DFMF,nl Netherlands,30-090,1996,4.3,0,0,0,6,3,1,16,1,6,,,0,Matches,481c9ece
273,Jean-Kevin Duverne,DF,ht Haiti,29-005,1997,1.9,0,0,0,2,1,1,1,4,2,,,0,Matches,0cbc8baa
274,Lyndon Dykes,FWMF,sct Scotland,30-283,1995,0.4,0,0,0,2,0,0,1,0,0,,,0,Matches,cd92357a
275,Edin Džeko,FW,ba Bosnia–Herz,40-122,1986,2.0,1,0,0,1,2,0,0,1,0,,,0,Matches,3bb7f478
276,Roshon van Eijma,DF,cw Curaçao,28-038,1998,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches,130368de
277,Anthony Elanga,MFFW,se Sweden,24-081,2002,2.4,0,0,0,0,7,1,12,2,0,,,0,Matches,2fba6108
278,Meschak Elia,FWMF,cd Congo DR,28-345,1997,0.5,0,0,0,2,0,0,2,1,0,,,0,Matches,5d51b074
279,Callan Elliot,DF,nz New Zealand,27-010,1999,0.1,0,0,0,0,0,0,0,0,1,,,0,Matches,9d6968a3
280,Eren Elmalı,DF,tr Türkiye,26-010,2000,1.2,1,0,0,2,1,0,1,2,1,,,0,Matches,8eeb8ba4
281,Nico Elvedi,DF,ch Switzerland,29-290,1996,6.7,1,0,0,5,6,0,0,6,2,,,0,Matches,48035304
282,Breel Embolo,FW,ch Switzerland,29-153,1997,5.6,2,1,1,9,11,4,1,2,0,,,0,Matches,0b4f388a
283,Julio Enciso,FW,py Paraguay,22-175,2004,4.3,0,0,0,3,9,0,5,1,5,,,0,Matches,9cfbad36
284,Endrick,FW,br Brazil,19-361,2006,1.3,0,0,0,1,1,1,0,1,1,,,0,Matches,a2728fbf
285,Sherzod Esanov,MF,uz Uzbekistan,23-166,2003,0.0,0,0,0,0,0,0,0,1,0,,,0,Matches,bd6667ba
286,Fidel Escobar,DF,pa Panama,31-189,1995,1.0,0,0,0,1,0,0,1,1,2,,,0,Matches,4991ec66
287,Pervis Estupiñán,MF,ec Ecuador,28-177,1998,1.0,0,0,0,3,0,0,2,0,1,,,0,Matches,d38fdf53
288,Derrick Etienne,FWMF,ht Haiti,29-234,1996,0.1,0,0,0,0,0,0,2,0,0,,,0,Matches,59059f1e
289,Stephen Eustáquio,MF,ca Canada,29-208,1996,4.4,0,0,0,2,7,0,45,3,5,,,0,Matches,577efaec
290,Martin Expérience,DFMF,ht Haiti,27-130,1999,3.0,0,0,0,7,6,0,6,4,6,,,0,Matches,9edb83f4
291,Saeid Ezatolahi,MF,ir IR Iran,29-289,1996,2.9,2,0,0,7,4,0,0,7,5,,,0,Matches,314d95ac
292,Eberechi Eze,FWMF,eng England,28-018,1998,1.5,0,0,0,1,3,1,2,0,0,,,0,Matches,ae4fc6a4
293,Fabinho,DFMF,br Brazil,32-267,1993,0.8,1,0,0,4,0,0,0,2,1,,,0,Matches,7f3b388c
294,José Fajardo,FW,pa Panama,32-333,1993,1.7,1,0,0,4,3,1,0,0,2,,,0,Matches,682e47b3
295,Odeh Al-Fakhouri,MFFW,jo Jordan,20-237,2005,1.6,0,0,0,2,3,1,1,2,1,,,0,Matches,30591ae5
296,Henrik Falchener,DF,no Norway,23-070,2003,0.7,0,0,0,0,0,0,0,1,0,,,0,Matches,57fe6b9b
297,Marko Farji,MF,iq Iraq,22-123,2004,0.6,0,0,0,0,2,0,2,1,1,,,0,Matches,e046cff6
298,Christian Fassnacht,FWMF,ch Switzerland,32-248,1993,0.1,0,0,0,0,0,0,0,0,1,,,0,Matches,0aeeed3f
299,Abdul Fatawu Issahaku,FWMF,gh Ghana,22-131,2004,1.5,1,0,0,1,7,0,7,0,0,,,0,Matches,bceda5ff
300,Ahmed Fathy,MF,qa Qatar,33-173,1993,1.7,2,0,0,2,1,0,0,3,3,,,0,Matches,f2369793
301,Hamdy Fathy,DFMF,eg Egypt,31-291,1994,2.6,1,0,0,3,2,1,1,2,3,,,0,Matches,c8ef4955
302,Ahmed Fatouh,DF,eg Egypt,28-117,1998,3.0,1,0,0,2,3,0,8,4,5,,,0,Matches,de13286d
303,Abbosbek Fayzullayev,MF,uz Uzbekistan,22-287,2003,2.4,0,0,0,6,4,0,10,1,6,,,0,Matches,ef1d36a1
304,João Félix,MF,pt Portugal,26-249,1999,2.2,0,0,0,3,6,0,4,3,4,,,0,Matches,8aafd64f
305,Lewis Ferguson,MF,sct Scotland,26-327,1999,3.0,0,0,0,5,10,0,9,4,7,,,0,Matches,ee64a822
306,Bruno Fernandes,MF,pt Portugal,31-312,1994,4.7,0,0,0,2,8,1,22,0,5,,,0,Matches,507c7bdf
307,Enzo Fernández,MF,ar Argentina,25-181,2001,6.3,0,0,0,9,5,1,5,4,6,,,0,Matches,5ff4ab71
308,Matias Fernandez-Pardo,FWMF,be Belgium,21-164,2005,0.5,0,0,0,0,0,0,2,0,1,,,0,Matches,0cdb6a2a
309,Álvaro Fidalgo,MF,mx Mexico,29-099,1997,1.1,0,0,0,0,2,0,4,1,0,,,0,Matches,c705cdc4
310,Sherel Floranus,DF,cw Curaçao,27-328,1998,3.0,0,0,0,2,0,1,0,4,6,,,0,Matches,5ad49fbb
311,Seko Fofana,MF,ci Côte d'Ivoire,31-071,1995,1.0,1,0,0,1,0,0,0,2,0,,,0,Matches,5313ed43
312,Yahia Fofana,GK,ci Côte d'Ivoire,25-330,2000,4.0,0,0,0,0,3,0,0,0,0,,,0,Matches,9d420dad
313,Deveron Fonville,DF,cw Curaçao,23-062,2003,2.7,0,0,0,2,3,0,0,5,3,,,0,Matches,21932982
314,Yassin Fortuné,FWMF,ht Haiti,27-168,1999,0.1,0,0,0,0,1,0,0,0,0,,,0,Matches,ddcc9e22
315,Lyle Foster,FW,za South Africa,25-317,2000,0.6,0,0,0,0,1,0,0,0,0,,,0,Matches,f84a807c
316,Alan Franco,DF,ec Ecuador,27-330,1998,2.8,2,0,0,7,0,0,5,4,6,,,0,Matches,c76b161b
317,Alex Freeman,DF,us United States,21-342,2004,4.2,0,0,0,1,1,0,4,7,6,,,0,Matches,754f150b
318,Matt Freese,GK,us United States,27-318,1998,4.0,0,0,0,0,2,0,0,0,0,,,0,Matches,2f49476c
319,Remo Freuler,MF,ch Switzerland,34-093,1992,6.6,0,0,0,8,3,1,5,8,5,,,0,Matches,98d2c2c4
320,Marco Friedl,DF,at Austria,28-123,1998,0.3,0,0,0,0,0,0,0,0,0,,,0,Matches,f86ad3f5
321,Juriën Gaari,DF,cw Curaçao,32-206,1993,1.8,1,0,0,4,1,0,0,2,2,,,0,Matches,bf7a9d1a
322,Jassem Gaber,MF,qa Qatar,24-147,2002,1.7,1,0,0,7,0,0,0,0,2,,,0,Matches,af9ef8aa
323,Cody Gakpo,FW,nl Netherlands,27-071,1999,4.1,0,0,0,3,3,3,12,2,1,,,0,Matches,1971591f
324,Matías Galarza,MF,py Paraguay,24-156,2002,4.3,2,0,0,10,9,0,4,7,11,,,0,Matches,8e97a57b
325,Hernán Galíndez,GK,ec Ecuador,39-109,1987,4.0,0,0,0,0,0,0,0,0,0,,,0,Matches,89c136f6
326,Jesús Gallardo,DF,mx Mexico,31-336,1994,4.1,0,0,0,7,3,0,16,7,1,,,0,Matches,d0846b6c
327,Ahmed Al-Ganehi,FW,qa Qatar,25-298,2000,0.4,0,0,0,1,0,0,1,0,1,,,0,Matches,efcf04d2
328,Ben Gannon-Doak,MF,sct Scotland,20-248,2005,2.1,0,0,0,3,1,0,6,0,1,,,0,Matches,733f1a7d
329,Gavi,FW,es Spain,21-346,2004,0.8,0,0,0,2,1,0,2,1,2,,,0,Matches,19cae58d
330,Jason Geria,DF,au Australia,33-068,1993,0.7,0,0,0,2,0,0,1,2,1,,,0,Matches,cd494a8d
331,Khalid Al Ghannam,MF,sa Saudi Arabia,25-251,2000,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches,c16843c7
332,Ismaël Gharbi,MF,tn Tunisia,22-098,2004,1.4,0,0,0,0,2,0,1,1,1,,,0,Matches,5b3cfa12
333,Mehdi Ghayedi,FW,ir IR Iran,27-224,1998,0.5,0,0,0,2,1,0,3,0,0,,,0,Matches,b6c90b4b
334,Farés Ghedjemis,FWMF,dz Algeria,23-314,2002,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches,14aac43e
335,Saman Ghoddos,MF,ir IR Iran,32-314,1993,2.3,0,0,0,3,0,1,1,5,4,,,0,Matches,f7b1d4e0
336,Mohammad Ghorbani,MF,ir IR Iran,25-057,2001,1.0,0,0,0,2,1,0,0,2,2,,,0,Matches,4a078e18
337,Lee Gi-hyuk,DF,kr Korea Republic,26-010,2000,3.0,1,0,0,2,1,0,2,5,4,,,0,Matches,18c8c3c7
338,Armin Gigovic,MF,ba Bosnia–Herz,24-102,2002,0.9,0,0,0,0,2,0,0,2,1,,,0,Matches,d0a0858e
339,Orlando Gill,GK,py Paraguay,26-036,2000,5.3,0,0,0,0,3,0,0,0,0,,,0,Matches,0d425331
340,Santiago Giménez,FW,mx Mexico,25-090,2001,1.0,0,0,0,1,3,0,0,0,0,,,0,Matches,37337aea
341,Aníbal Godoy,MF,pa Panama,36-157,1990,0.0,0,0,0,0,1,0,1,0,0,,,0,Matches,2d496ca3
342,Andrés Gómez,MF,co Colombia,23-308,2002,0.0,0,0,0,0,0,0,0,1,0,,,0,Matches,76a82373
343,Diego Gómez,MF,py Paraguay,23-112,2003,3.4,2,0,0,5,1,0,1,9,6,,,0,Matches,916728da
344,Gustavo Gómez,DF,py Paraguay,33-072,1993,5.3,0,0,0,3,2,1,0,2,3,,,0,Matches,d5ce52a5
345,Armando González,FW,mx Mexico,23-088,2003,0.2,0,0,0,1,0,0,0,0,0,,,0,Matches,1278bc9a
346,Nicolás González,FWMF,ar Argentina,28-102,1998,2.4,0,0,0,4,2,1,6,1,3,,,0,Matches,2374aaca
347,Anthony Gordon,MF,eng England,25-143,2001,4.4,0,0,0,4,10,0,8,3,3,,,0,Matches,2bd83368
348,Leon Goretzka,MF,de Germany,31-161,1995,1.1,0,0,0,0,0,0,1,1,1,,,0,Matches,cc86b9a3
349,Kenji Gorré,FWMF,cw Curaçao,31-291,1994,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches,52d1a4c6
350,Keisuke Gotō,FW,jp Japan,21-044,2005,0.1,0,0,0,0,1,0,0,0,1,,,0,Matches,82a2ca86
351,Amine Gouiri,FW,dz Algeria,26-151,2000,2.8,0,0,0,1,1,0,1,0,1,,,0,Matches,aad56ca3
352,Ryan Gravenberch,MF,nl Netherlands,24-062,2002,3.8,0,0,0,5,3,0,4,6,1,,,0,Matches,b8e740fb
353,Michael Gregoritsch,FW,at Austria,32-090,1994,2.1,0,0,0,1,1,2,0,0,0,,,0,Matches,8e235926
354,Florian Grillitsch,DFMF,at Austria,30-344,1995,1.0,0,0,0,3,1,0,1,0,1,,,0,Matches,ffbbc83b
355,Pascal Groß,DFMF,de Germany,35-032,1991,0.2,0,0,0,1,0,0,1,0,2,,,0,Matches,8aec0537
356,Gabriel Gudmundsson,MFDF,se Sweden,27-079,1999,3.7,1,0,0,5,7,0,4,5,3,,,0,Matches,d5d22a58
357,Cho Gue-sung,FW,kr Korea Republic,28-173,1998,0.3,1,0,0,1,0,0,0,0,0,,,0,Matches,ccfa8e5e
358,Marc Guéhi,DF,eng England,26-004,2000,6.4,1,0,0,3,12,0,0,4,0,,,0,Matches,d0706b27
359,Evann Guessand,FWMF,ci Côte d'Ivoire,25-016,2001,0.2,0,0,0,1,0,0,0,0,0,,,0,Matches,b73f17f8
360,Idrissa Gueye,MF,sn Senegal,36-294,1989,4.0,0,0,0,2,2,0,1,2,4,,,0,Matches,72c812f3
361,Pape Gueye,MF,sn Senegal,27-174,1999,2.6,1,0,0,4,2,0,3,4,1,,,0,Matches,7155e3e1
362,Bruno Guimarães,MF,br Brazil,28-243,1997,4.6,0,0,0,4,7,0,16,2,6,,,0,Matches,82518f62
363,Deniz Gül,FW,tr Türkiye,22-015,2004,0.4,0,0,0,2,0,0,0,0,0,,,0,Matches,f0fb443e
364,Arda Güler,MF,tr Türkiye,21-142,2005,3.0,0,0,0,3,10,2,14,2,3,,,0,Matches,3741ca58
365,Angus Gunn,GK,sct Scotland,30-176,1996,3.0,0,0,0,0,0,0,0,0,1,,,0,Matches,e082af5b
366,Malo Gusto,DFMF,fr France,23-059,2003,0.4,0,0,0,2,0,0,0,1,0,,,0,Matches,d56b9520
367,Brian Gutiérrez,MF,mx Mexico,23-030,2003,2.2,1,0,0,5,3,0,5,2,1,,,0,Matches,d88f31db
368,Jorge Gutiérrez,DF,pa Panama,27-319,1998,1.0,0,0,0,1,2,0,0,1,1,,,0,Matches,56f6d192
369,Joško Gvardiol,DF,hr Croatia,24-175,2002,1.5,0,0,0,2,3,0,0,2,2,,,0,Matches,5ad50391
370,Viktor Gyökeres,FW,se Sweden,28-043,1998,4.0,1,0,0,4,7,1,1,0,1,,,0,Matches,4d5a9185
371,Aziz Gʻaniyev,MF,uz Uzbekistan,28-145,1998,1.4,0,0,0,2,1,0,6,0,6,,,0,Matches,0c492054
372,Erling Haaland,FW,no Norway,25-361,2000,5.2,0,0,0,5,3,0,1,1,0,,,0,Matches,1f44ac21
373,Ihsan Haddad,DF,jo Jordan,32-162,1994,2.9,0,0,0,3,1,0,8,2,1,,,0,Matches,85660a5d
374,Anis Hadj Moussa,MF,dz Algeria,24-156,2002,1.1,0,0,0,0,2,0,5,1,0,,,0,Matches,7bc7eef2
375,Jaouen Hadjam,DF,dz Algeria,23-113,2003,1.2,0,0,0,0,0,0,1,1,1,,,0,Matches,576817b7
376,Amir Hadžiahmetović,MF,ba Bosnia–Herz,29-131,1997,0.1,0,0,0,0,0,0,1,0,0,,,0,Matches,e8213ed3
377,Dennis Hadžikadunić,DF,ba Bosnia–Herz,28-008,1998,0.3,0,0,0,1,0,0,0,0,2,,,0,Matches,82cfae2a
378,Karim Hafez,DF,eg Egypt,30-127,1996,1.9,0,0,0,1,2,0,3,3,1,,,0,Matches,d2debf23
379,Ehsan Hajsafi,DF,ir IR Iran,36-142,1990,1.0,1,0,0,2,1,0,2,1,0,,,0,Matches,b060e3b8
380,Achraf Hakimi,DF,ma Morocco,27-255,1998,6.3,1,0,0,7,16,0,35,5,10,,,0,Matches,e42d61c7
381,Redouane Halhal,DF,ma Morocco,23-134,2003,2.0,1,0,0,3,5,1,0,1,1,,,0,Matches,e17c2cec
382,Ali Al Hamadi,FW,iq Iraq,24-138,2002,2.0,0,0,0,1,5,0,0,2,2,,,0,Matches,8450467d
383,Abdullah Al-Hamdan,FW,sa Saudi Arabia,26-307,1999,0.8,0,0,0,2,0,0,1,0,0,,,0,Matches,cc4b5436
384,Mohamed Amine Ben Hamida,DF,tn Tunisia,30-214,1995,2.2,0,0,0,3,1,0,1,1,9,,,0,Matches,2a5e8f82
385,Odiljon Hamrobekov,MF,uz Uzbekistan,30-154,1996,0.9,1,0,0,1,1,0,0,0,0,,,0,Matches,03f63e77
386,Lee Han-beom,DF,kr Korea Republic,24-030,2002,3.0,0,0,0,7,2,0,2,3,2,,,0,Matches,071f2dd3
387,Grant Hanley,DF,sct Scotland,34-239,1991,2.0,0,0,0,1,0,1,0,1,2,,,0,Matches,e9254eec
388,Sontje Hansen,FW,cw Curaçao,24-060,2002,0.5,0,0,0,0,0,0,0,0,0,,,0,Matches,70bad10b
389,Mohamed Hany,DF,eg Egypt,30-173,1996,5.3,0,0,0,2,1,0,15,6,9,,,2,Matches,9bcf1513
390,Moteb Al-Harbi,DF,sa Saudi Arabia,26-147,2000,2.1,0,0,0,0,4,0,1,4,1,,,0,Matches,1d88554c
391,Saleh Hardani,DF,ir IR Iran,27-203,1998,1.0,0,0,0,0,2,0,1,2,2,,,0,Matches,3a9b682b
392,Carlos Harvey,MF,pa Panama,26-164,2000,3.0,1,0,0,8,3,0,0,0,3,,,0,Matches,3f18600c
393,Akam Hashim,DF,iq Iraq,27-335,1998,3.0,0,0,0,0,3,0,0,2,1,,,0,Matches,f8416e89
394,Haissem Hassan,MF,eg Egypt,24-159,2002,1.4,2,0,0,2,2,0,9,0,1,,,0,Matches,e0979e74
395,Jalal Hassan,GK,iq Iraq,35-060,1991,1.5,0,0,0,0,1,0,0,0,0,,,0,Matches,87351c2e
396,Abdulaziz Hatem,MF,qa Qatar,36-197,1990,0.5,0,0,0,1,0,0,0,0,0,,,0,Matches,c5065ef8
397,Jorrel Hato,DF,nl Netherlands,20-132,2006,0.4,0,0,0,0,0,0,1,0,0,,,0,Matches,bde35051
398,Kai Havertz,FW,de Germany,27-036,1999,3.9,1,0,0,3,4,1,1,1,2,,,0,Matches,fed7cb61
399,Hassan Al-Haydos,MF,qa Qatar,35-218,1990,0.6,0,0,0,1,1,0,0,0,0,,,0,Matches,41bd6c64
400,Jan Paul van Hecke,DF,nl Netherlands,26-039,2000,4.3,0,0,0,4,2,0,1,4,3,,,0,Matches,4fd08daa
401,Hwang Hee-chan,FW,kr Korea Republic,30-172,1996,1.2,0,0,0,1,2,0,0,0,1,,,0,Matches,169fd162
402,Torbjørn Heggem,DF,no Norway,27-186,1999,4.9,0,0,0,2,0,0,0,2,7,,,0,Matches,834fea76
403,Alaa Al Hejji,MF,sa Saudi Arabia,30-226,1995,0.4,0,0,0,0,0,0,0,1,0,,,0,Matches,6d258576
404,Jordan Henderson,MF,eng England,36-030,1990,0.1,1,0,0,0,1,0,2,0,1,,,0,Matches,935e6b8f
405,Jack Hendry,DF,sct Scotland,31-071,1995,3.0,0,0,0,1,3,0,0,0,2,,,0,Matches,ffed43e3
406,Luiz Henrique,FWMF,br Brazil,25-196,2001,0.3,0,0,0,0,1,0,0,0,0,,,0,Matches,8059806f
407,Theo Hernández,DF,fr France,28-284,1997,2.4,0,0,0,2,4,0,5,2,1,,,0,Matches,d4c9725f
408,Lucas Herrington,DF,au Australia,18-315,2007,2.3,0,0,0,2,0,0,0,2,1,,,0,Matches,6f808c85
