Rk,Player,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Matches,-additional_-9999
504,Amirhossein Hosseinzadeh,FW,ir IR Iran,25-260,2000,2,17.0,9.0,6.3,0.2,0,,0,2,9.0,1,1.0,0.0,0.0,0.0,0.0,0.0,Matches,47270f0c
505,Robin Hranáč,DF,cz Czechia,26-169,2000,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.33,2.0,6.0,-4.0,-1.33,,Matches,95d5aea2
506,Ajdin Hrustic,MF,au Australia,30-012,1996,2,80.0,40.0,20.5,0.9,0,,0,2,40.0,2,1.0,0.0,0.0,0.0,0.0,0.0,Matches,1f2d714c
507,César Huerta,FWMF,mx Mexico,25-226,2000,1,7.0,7.0,1.6,0.1,0,,0,1,7.0,4,3.0,0.0,0.0,0.0,0.0,-1.42,Matches,de2f44ce
508,Al-Hashmi Al-Hussain,MF,qa Qatar,22-336,2003,1,32.0,32.0,11.9,0.4,0,,0,1,32.0,2,0.0,0.0,3.0,-3.0,-8.44,-6.55,Matches,c164fda2
509,Ayman Hussein,FW,iq Iraq,30-117,1996,2,115.0,58.0,42.6,1.3,2,58.0,1,0,,1,0.0,1.0,5.0,-4.0,-3.13,0.93,Matches,8b574de7
510,Dominic Hyam,DF,sct Scotland,30-209,1995,0,,,,,0,,0,0,,3,,,,,,,Matches,ce95958a
511,Oh Hyeon-gyu,FW,kr Korea Republic,25-096,2001,3,129.0,43.0,47.8,1.4,1,73.0,0,2,28.0,0,1.0,1.0,1.0,0.0,0.0,0.64,Matches,d25422fb
512,Jo Hyeon-woo,GK,kr Korea Republic,34-295,1991,0,,,,,0,,0,0,,3,,,,,,,Matches,c75a3145
513,Yang Hyun-jun,FWMF,kr Korea Republic,24-053,2002,1,20.0,20.0,7.4,0.2,0,,0,1,20.0,2,0.0,0.0,0.0,0.0,0.0,0.36,Matches,f4cda99f
514,Roger Ibanez,DF,br Brazil,27-236,1998,1,45.0,45.0,10.0,0.5,1,45.0,0,0,,4,1.0,1.0,1.0,0.0,0.0,-1.33,Matches,82efe6fa
515,Yasser Ibrahim,DF,eg Egypt,33-157,1993,5,467.0,93.0,97.3,5.2,4,98.0,4,1,77.0,0,1.2,7.0,6.0,1.0,0.19,0.19,Matches,0b89ad1b
516,Borja Iglesias,FW,es Spain,33-181,1993,1,1.0,1.0,0.2,0.0,0,,0,1,1.0,6,3.0,0.0,0.0,0.0,0.0,-1.72,Matches,75645f0e
517,Hwang In-beom,MF,kr Korea Republic,29-300,1996,3,263.0,88.0,97.4,2.9,3,88.0,2,0,,0,1.0,2.0,3.0,-1.0,-0.34,-0.34,Matches,92fa5d28
518,Gonçalo Inácio,DF,pt Portugal,24-326,2001,0,,,,,0,,0,0,,5,,,,,,,Matches,33651873
519,Christ Inao Oulaï,MF,ci Côte d'Ivoire,20-102,2006,4,208.0,52.0,57.8,2.3,2,75.0,1,2,30.0,0,1.5,3.0,3.0,0.0,0.0,-0.59,Matches,62709ee4
520,Zidane Iqbal,MF,iq Iraq,23-081,2003,3,188.0,63.0,69.6,2.1,2,78.0,1,1,32.0,0,0.0,0.0,8.0,-8.0,-3.83,-0.54,Matches,6fa3c28e
521,Nestory Irankunda,FWMF,au Australia,20-158,2006,4,261.0,65.0,66.9,2.9,3,72.0,0,1,45.0,0,1.25,2.0,1.0,1.0,0.34,1.04,Matches,4ac730b2
522,Jackson Irvine,MF,au Australia,33-132,1993,4,223.0,56.0,57.2,2.5,2,102.0,1,2,10.0,0,1.25,1.0,1.0,0.0,0.0,0.0,Matches,4637747c
523,Alexander Isak,FW,se Sweden,26-299,1999,4,357.0,89.0,99.2,4.0,4,89.0,2,0,,0,1.0,6.0,10.0,-4.0,-1.01,-31.01,Matches,8e92be30
524,Wilson Isidor,FW,ht Haiti,25-324,2000,3,186.0,62.0,68.9,2.1,2,71.0,0,1,45.0,0,0.0,2.0,3.0,-1.0,-0.48,4.87,Matches,a671316d
525,Jamshid Iskanderov,FWMF,uz Uzbekistan,32-274,1993,1,9.0,9.0,3.3,0.1,0,,0,1,9.0,2,0.0,0.0,1.0,-1.0,-10.0,-7.24,Matches,3b8abe7c
526,Zaid Ismail,MF,iq Iraq,24-195,2002,2,117.0,59.0,43.3,1.3,2,59.0,0,0,,1,0.0,1.0,4.0,-3.0,-2.31,2.4,Matches,c65effaa
527,Ko Itakura,DF,jp Japan,29-171,1997,2,128.0,64.0,35.6,1.4,2,64.0,1,0,,2,2.0,4.0,0.0,4.0,2.81,3.2,Matches,97d545ae
528,Jacob Italiano,DF,au Australia,24-352,2001,2,163.0,82.0,41.8,1.8,2,82.0,1,0,,0,1.5,1.0,2.0,-1.0,-0.55,-0.95,Matches,2eb0ee9a
529,Hiroki Ito,DF,jp Japan,27-066,1999,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,1.25,8.0,5.0,3.0,0.75,,Matches,204dded0
