Rk,Player,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Matches,-additional_-9999
588,Liam Kelly,GK,sct Scotland,30-175,1996,0,,,,,0,,0,0,,3,,,,,,,Matches,d8c74957
589,Franck Kessié,MF,ci Côte d'Ivoire,29-210,1996,4,346.0,87.0,96.1,3.8,4,87.0,3,0,,0,1.5,5.0,4.0,1.0,0.26,0.26,Matches,05e19d6a
590,Abdullah Al-Khaibari,MF,sa Saudi Arabia,29-335,1996,3,180.0,60.0,66.7,2.0,3,60.0,1,0,,0,0.67,1.0,4.0,-3.0,-1.5,-0.5,Matches,ab47ae1c
591,Shoja' Khalilzadeh,DF,ir IR Iran,37-064,1989,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.0,3.0,3.0,0.0,0.0,,Matches,0aed29f1
592,Dostonbek Khamdamov,MF,uz Uzbekistan,29-358,1996,2,103.0,52.0,38.1,1.1,1,58.0,0,1,45.0,1,0.0,2.0,2.0,0.0,0.0,4.85,Matches,d2dd2ffb
593,Bilal El Khannouss,MFFW,ma Morocco,22-068,2004,6,461.0,77.0,80.9,5.1,6,77.0,1,0,,0,1.83,7.0,5.0,2.0,0.39,-1.26,Matches,f7042636
594,Rani Khedira,MF,tn Tunisia,32-171,1994,3,149.0,50.0,55.2,1.7,2,74.0,0,1,1.0,0,0.0,2.0,6.0,-4.0,-2.42,2.05,Matches,59e4b92e
595,Boualem Khoukhi,DF,qa Qatar,36-008,1990,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.33,2.0,10.0,-8.0,-2.67,,Matches,7be5ad52
596,Abdukodir Khusanov,DF,uz Uzbekistan,22-138,2004,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.0,2.0,11.0,-9.0,-3.0,,Matches,d17ce930
597,Joshua Kimmich,DF,de Germany,31-159,1995,4,351.0,88.0,90.0,3.9,4,88.0,2,0,,0,1.75,10.0,4.0,6.0,1.54,1.54,Matches,49296448
598,Justin Kluivert,FWMF,nl Netherlands,27-073,1999,2,27.0,14.0,6.9,0.3,0,,0,2,14.0,2,2.0,0.0,0.0,0.0,0.0,-1.49,Matches,4c3a6744
599,Gregor Kobel,GK,ch Switzerland,28-223,1997,6,600.0,100.0,100.0,6.7,6,100.0,6,0,,0,1.83,10.0,6.0,4.0,0.6,,Matches,cd59b9df
600,Orkun Kökçü,MF,tr Türkiye,25-200,2000,3,153.0,51.0,56.7,1.7,2,74.0,0,1,5.0,0,1.0,2.0,3.0,-1.0,-0.59,0.18,Matches,9bf914b4
601,Sead Kolašinac,DF,ba Bosnia–Herz,33-027,1993,4,337.0,84.0,93.6,3.7,4,84.0,2,0,,0,1.0,5.0,7.0,-2.0,-0.53,3.38,Matches,3935e52e
602,Ghislain Konan,DF,ci Côte d'Ivoire,30-202,1995,3,269.0,90.0,74.7,3.0,3,90.0,2,0,,1,1.0,3.0,4.0,-1.0,-0.33,-2.31,Matches,6b2c894b
603,Ibrahima Konaté,DF,fr France,27-053,1999,1,15.0,15.0,2.4,0.2,0,,0,1,15.0,6,3.0,1.0,0.0,1.0,6.0,4.39,Matches,5ed9b537
604,Ismaël Koné,MF,ca Canada,24-031,2002,2,146.0,73.0,32.4,1.6,2,73.0,1,0,,0,2.0,4.0,1.0,3.0,1.85,1.85,Matches,e0220b70
605,Manu Koné,MF,fr France,25-061,2001,5,385.0,77.0,61.1,4.3,4,85.0,3,1,45.0,2,2.4,10.0,2.0,8.0,1.87,0.4,Matches,86574238
606,Mohamed Koné,GK,ci Côte d'Ivoire,24-132,2002,0,,,,,0,,0,0,,4,,,,,,,Matches,24f1fe8c
607,Ezri Konsa,DF,eng England,28-267,1997,7,557.0,80.0,84.4,6.2,6,90.0,5,1,19.0,0,2.29,12.0,8.0,4.0,0.65,-1.1,Matches,0313a347
608,Teun Koopmeiners,DFMF,nl Netherlands,28-139,1998,4,122.0,31.0,31.3,1.4,0,,0,4,31.0,0,2.0,2.0,2.0,0.0,0.0,-2.01,Matches,a26fb8aa
609,Odilon Kossounou,DF,ci Côte d'Ivoire,25-194,2001,4,272.0,68.0,75.6,3.0,3,90.0,3,1,2.0,0,1.5,5.0,4.0,1.0,0.33,0.33,Matches,1f3afdcb
610,Dominik Kotarski,GK,hr Croatia,26-157,2000,0,,,,,0,,0,0,,4,,,,,,,Matches,b298716e
611,Kalidou Koulibaly,DF,sn Senegal,35-027,1991,2,161.0,81.0,41.3,1.8,2,81.0,1,0,,2,0.0,2.0,6.0,-4.0,-2.24,-4.2,Matches,da974c7b
612,Jules Koundé,DF,fr France,27-247,1998,7,598.0,85.0,94.9,6.6,7,85.0,3,0,,0,2.57,15.0,4.0,11.0,1.66,-1.16,Matches,4d1666ff
613,Mateo Kovačić,MF,hr Croatia,32-072,1994,4,270.0,68.0,75.0,3.0,3,79.0,0,1,33.0,0,1.5,3.0,3.0,0.0,0.0,1.0,Matches,79c0821a
614,Matej Kovar,GK,cz Czechia,26-061,2000,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.33,2.0,6.0,-4.0,-1.33,,Matches,bc67a0e1
615,Andrej Kramarić,FWMF,hr Croatia,35-028,1991,3,59.0,20.0,16.4,0.7,0,,0,3,20.0,1,1.0,1.0,1.0,0.0,0.0,0.3,Matches,603cb947
616,Ladislav Krejčí,DF,cz Czechia,27-088,1999,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.33,2.0,6.0,-4.0,-1.33,,Matches,5b5c2228
617,Takefusa Kubo,MF,jp Japan,25-043,2001,1,74.0,74.0,20.6,0.8,1,74.0,0,0,,1,1.0,1.0,2.0,-1.0,-1.22,-2.47,Matches,16aa3654
618,Jan Kuchta,FW,cz Czechia,29-190,1997,0,,,,,0,,0,0,,3,,,,,,,Matches,4bce9c16
619,Brandley Kuwas,FWMF,cw Curaçao,33-301,1992,1,1.0,1.0,0.4,0.0,0,,0,1,1.0,2,0.0,0.0,0.0,0.0,0.0,2.68,Matches,42c94967
620,Prince Kwabena Adu,FW,gh Ghana,22-297,2003,3,39.0,13.0,10.8,0.4,0,,0,3,13.0,1,1.33,1.0,0.0,1.0,2.31,2.87,Matches,36bdd145
621,Duke Lacroix,DFFW,ht Haiti,32-276,1993,0,,,,,0,,0,0,,3,,,,,,,Matches,bce0d6f6
622,Maxence Lacroix,DF,fr France,26-102,2000,2,151.0,76.0,24.0,1.7,1,90.0,1,1,61.0,5,1.5,4.0,2.0,2.0,1.19,-0.69,Matches,277c49ed
623,Alban Lafont,GK,ci Côte d'Ivoire,27-175,1999,0,,,,,0,,0,0,,4,,,,,,,Matches,4e7db402
624,Gustaf Lagerbielke,DF,se Sweden,26-098,2000,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,1.0,7.0,10.0,-3.0,-0.75,,Matches,9e39fa2d
625,Konrad Laimer,MFDF,at Austria,29-051,1997,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,1.0,6.0,9.0,-3.0,-0.75,,Matches,c1b7847c
626,Ali Lajami,DF,sa Saudi Arabia,30-084,1996,3,149.0,50.0,55.2,1.7,1,90.0,1,2,30.0,0,0.67,0.0,4.0,-4.0,-2.42,-2.42,Matches,46f7ab4f
627,Senne Lammens,GK,be Belgium,24-010,2002,1,20.0,20.0,3.5,0.2,0,,0,1,20.0,5,0.0,0.0,1.0,-1.0,-4.5,-5.81,Matches,8e6d2fcd
628,Noa Lang,FWMF,nl Netherlands,27-030,1999,2,8.0,4.0,2.1,0.1,0,,0,2,4.0,2,3.0,0.0,0.0,0.0,0.0,-1.41,Matches,8e034340
629,Sondre Langås,DF,no Norway,25-165,2001,1,25.0,25.0,4.4,0.3,0,,0,1,25.0,5,0.0,0.0,1.0,-1.0,-3.6,-4.1,Matches,107e4890
630,Aymeric Laporte,DF,es Spain,32-051,1994,7,629.0,90.0,99.8,7.0,7,90.0,6,0,,0,2.71,13.0,1.0,12.0,1.72,1.72,Matches,119b9a8e
631,Cyle Larin,FW,ca Canada,31-091,1995,4,190.0,48.0,42.2,2.1,2,74.0,1,2,22.0,1,1.0,7.0,4.0,3.0,1.42,1.42,Matches,e7af9060
632,Richie Laryea,DF,ca Canada,31-191,1995,5,429.0,86.0,95.3,4.8,5,86.0,3,0,,0,1.4,9.0,4.0,5.0,1.05,9.62,Matches,276fdbe4
633,Mohanad Lasheen,MF,eg Egypt,30-049,1996,4,359.0,90.0,74.8,4.0,4,90.0,3,0,,0,1.25,7.0,5.0,2.0,0.5,1.25,Matches,8c041c7d
634,Issa Laye,MFDF,qa Qatar,28-207,1997,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.33,2.0,10.0,-8.0,-2.67,,Matches,c078667a
635,Rafael Leão,MF,pt Portugal,27-037,1999,5,158.0,32.0,35.1,1.8,1,90.0,1,4,17.0,0,1.6,3.0,2.0,1.0,0.57,-0.66,Matches,20730eae
636,Mathew Leckie,MF,au Australia,35-163,1991,1,60.0,60.0,15.4,0.7,1,60.0,0,0,,1,0.0,0.0,2.0,-2.0,-3.0,-3.55,Matches,b93b7882
637,Jefferson Lerma,MF,co Colombia,31-265,1994,5,410.0,82.0,85.4,4.6,5,82.0,3,0,,0,2.2,5.0,1.0,4.0,0.88,0.88,Matches,9b5ce51a
638,Jamie Leweling,FWMF,de Germany,25-141,2001,1,31.0,31.0,7.9,0.3,0,,0,1,31.0,3,3.0,2.0,0.0,2.0,5.81,4.8,Matches,13fe7b69
639,Philipp Lienhart,DF,at Austria,30-006,1996,2,180.0,90.0,50.0,2.0,2,90.0,2,0,,2,2.0,6.0,4.0,2.0,1.0,3.5,Matches,302527b2
640,Victor Lindelöf,DFMF,se Sweden,32-000,1994,4,356.0,89.0,98.9,4.0,4,89.0,3,0,,0,1.0,7.0,10.0,-3.0,-0.76,-0.76,Matches,f5deef4c
641,Erik Lira,MF,mx Mexico,26-070,2000,4,345.0,86.0,76.7,3.8,4,86.0,3,0,,1,2.25,7.0,3.0,4.0,1.04,-1.53,Matches,7b2c24ed
642,Dominik Livaković,GK,hr Croatia,31-189,1995,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,1.5,6.0,7.0,-1.0,-0.25,,Matches,58f077c0
643,Dailon Livramento,FW,cv Cabo Verde,25-074,2001,3,174.0,58.0,44.6,1.9,2,60.0,0,1,54.0,1,0.67,1.0,2.0,-1.0,-0.52,-0.52,Matches,c115db1e
644,Dejan Ljubičić,MF,at Austria,28-282,1997,0,,,,,0,,0,0,,4,,,,,,,Matches,c455a2b2
645,Marcos Llorente,DF,es Spain,31-168,1995,3,187.0,62.0,29.7,2.1,2,90.0,2,1,7.0,4,2.33,1.0,0.0,1.0,0.48,-1.75,Matches,02c15616
646,Giovani Lo Celso,MF,ar Argentina,30-099,1996,1,59.0,59.0,8.6,0.7,1,59.0,0,0,,6,3.0,2.0,1.0,1.0,1.53,-0.04,Matches,d7553721
647,Jürgen Locadia,FW,cw Curaçao,32-252,1993,3,235.0,78.0,87.0,2.6,3,78.0,0,0,,0,0.33,1.0,6.0,-5.0,-1.91,5.8,Matches,6cc47ae1
648,Azarías Londoño,MF,pa Panama,25-026,2001,3,56.0,19.0,20.7,0.6,0,,0,3,19.0,0,0.0,0.0,1.0,-1.0,-1.61,-0.35,Matches,31d68775
649,Sidny Lopes Cabral,DF,cv Cabo Verde,23-302,2002,3,285.0,95.0,73.1,3.2,3,95.0,2,0,,0,0.67,4.0,5.0,-1.0,-0.32,-0.32,Matches,20700569
650,Flaco López,FW,ar Argentina,25-223,2000,2,20.0,10.0,2.9,0.2,0,,0,2,10.0,5,3.0,2.0,0.0,2.0,9.0,7.66,Matches,e1426a52
651,Derrick Luckassen,DF,gh Ghana,31-014,1995,2,180.0,90.0,50.0,2.0,2,90.0,2,0,,2,0.0,1.0,3.0,-2.0,-1.0,-1.5,Matches,30a09cb5
652,Jhon Lucumí,DF,co Colombia,28-021,1998,5,478.0,96.0,99.6,5.3,5,96.0,4,0,,0,2.2,5.0,1.0,4.0,0.75,0.75,Matches,80490d7f
653,José Luis Rodríguez,MFFW,pa Panama,28-028,1998,3,233.0,78.0,86.3,2.6,3,78.0,1,0,,0,0.0,0.0,3.0,-3.0,-1.16,1.27,Matches,b333b014
654,Romelu Lukaku,FW,be Belgium,33-065,1993,6,233.0,39.0,40.9,2.6,1,72.0,0,5,32.0,0,1.83,6.0,2.0,4.0,1.55,0.74,Matches,5eae500a
655,Dodi Lukebakio,MF,be Belgium,28-296,1997,3,164.0,55.0,28.8,1.8,1,66.0,0,2,49.0,3,2.33,6.0,1.0,5.0,2.74,2.3,Matches,0c61c77c
656,Jovo Lukić,FW,ba Bosnia–Herz,27-231,1998,2,67.0,34.0,18.6,0.7,1,61.0,0,1,6.0,2,0.5,2.0,2.0,0.0,0.0,0.92,Matches,a2056e82
657,Awer Mabil,FWMF,au Australia,30-305,1995,1,30.0,30.0,7.7,0.3,0,,0,1,30.0,3,1.0,0.0,0.0,0.0,0.0,0.0,Matches,922da988
658,Alexis Mac Allister,MF,ar Argentina,27-205,1998,7,630.0,90.0,91.3,7.0,6,100.0,6,1,30.0,0,3.0,17.0,6.0,11.0,1.57,0.07,Matches,83d074ff
659,Deiver Machado,DF,co Colombia,32-318,1993,1,90.0,90.0,18.8,1.0,1,90.0,1,0,,4,1.0,0.0,0.0,0.0,0.0,-0.92,Matches,b3f8bdef
660,Shuto Machino,FW,jp Japan,26-290,1999,1,13.0,13.0,3.6,0.1,0,,0,1,13.0,2,0.0,0.0,1.0,-1.0,-6.92,-7.96,Matches,964dde35
661,Assim Madibo,MF,qa Qatar,29-268,1996,2,131.0,66.0,48.5,1.5,2,66.0,0,0,,0,0.5,0.0,4.0,-4.0,-2.75,-0.16,Matches,2b1d2ada
662,Noni Madueke,MF,eng England,24-129,2002,5,286.0,57.0,43.3,3.2,4,65.0,0,1,28.0,2,2.6,5.0,4.0,1.0,0.31,-0.89,Matches,bf34eebd
663,Daizen Maeda,MF,jp Japan,28-270,1997,3,244.0,81.0,67.8,2.7,3,81.0,1,0,,1,0.67,3.0,4.0,-1.0,-0.37,-3.47,Matches,395451fc
664,Gabriel Magalhães,DF,br Brazil,28-210,1997,5,450.0,90.0,100.0,5.0,5,90.0,5,0,,0,2.0,10.0,4.0,6.0,1.2,,Matches,67ac5bb8
665,El Mahdy Soliman,GK,eg Egypt,39-039,1987,0,,,,,0,,0,0,,5,,,,,,,Matches,1633cc1f
666,Ermin Mahmić,MF,ba Bosnia–Herz,21-125,2005,3,68.0,23.0,18.9,0.8,0,,0,3,23.0,1,1.0,2.0,2.0,0.0,0.0,0.92,Matches,86e34165
667,Hadj Mahmoud,MF,tn Tunisia,26-084,2000,2,43.0,22.0,15.9,0.5,0,,0,2,22.0,1,0.0,0.0,2.0,-2.0,-4.19,-1.01,Matches,081048c2
668,Riyad Mahrez,MF,dz Algeria,35-146,1991,4,262.0,66.0,72.8,2.9,3,78.0,1,1,27.0,0,1.0,4.0,7.0,-3.0,-1.03,-0.11,Matches,892d5bb1
669,Alexandro Maidana,DF,py Paraguay,20-356,2005,2,55.0,28.0,11.5,0.6,1,45.0,0,1,10.0,3,2.0,0.0,0.0,0.0,0.0,0.64,Matches,4d0d5020
670,Mike Maignan,GK,fr France,31-014,1995,7,630.0,90.0,100.0,7.0,7,90.0,7,0,,0,2.57,16.0,4.0,12.0,1.71,,Matches,fcb38f57
671,Kobbie Mainoo,MF,eng England,21-089,2005,0,,,,,0,,0,0,,7,,,,,,,Matches,c6220452
672,Ali Majrashi,DF,sa Saudi Arabia,26-288,1999,0,,,,,0,,0,0,,3,,,,,,,Matches,cd23146c
673,Evidence Makgopa,FW,za South Africa,26-042,2000,4,215.0,54.0,59.7,2.4,2,88.0,1,2,20.0,0,1.0,2.0,0.0,2.0,0.84,3.32,Matches,4d76d03b
674,Olwethu Makhanya,DF,za South Africa,22-078,2004,0,,,,,0,,0,0,,4,,,,,,,Matches,1627e6b5
675,Ahmed Maknzi,DF,iq Iraq,24-296,2001,1,33.0,33.0,12.2,0.4,0,,0,1,33.0,2,0.0,0.0,3.0,-3.0,-8.18,-5.14,Matches,f95ac2b6
676,Donyell Malen,FW,nl Netherlands,27-189,1999,3,185.0,62.0,47.4,2.1,3,62.0,0,0,,1,2.33,7.0,2.0,5.0,2.43,1.99,Matches,116c35df
677,Arjan Malic,DF,ba Bosnia–Herz,20-323,2005,1,45.0,45.0,12.5,0.5,1,45.0,0,0,,3,3.0,2.0,1.0,1.0,2.0,3.14,Matches,de57cd45
678,Mohamed Manai,DF,qa Qatar,23-265,2002,3,69.0,23.0,25.6,0.8,0,,0,3,23.0,0,0.33,1.0,4.0,-3.0,-3.91,-1.67,Matches,1e20b706
679,Aïssa Mandi,DF,dz Algeria,34-268,1991,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,1.0,5.0,9.0,-4.0,-1.0,,Matches,fbd6378b
680,Sadio Mané,MFFW,sn Senegal,34-098,1992,4,362.0,91.0,92.8,4.0,4,91.0,3,0,,0,0.75,10.0,8.0,2.0,0.5,3.71,Matches,c691bfe2
681,Juan Manuel Sanabria,DF,uy Uruguay,26-110,2000,3,204.0,68.0,75.6,2.3,2,80.0,1,1,45.0,0,0.67,3.0,3.0,0.0,0.0,1.36,Matches,f1d74479
682,Johan Manzambi,MFFW,ch Switzerland,20-276,2005,4,199.0,50.0,33.2,2.2,2,77.0,0,2,23.0,0,2.5,8.0,3.0,5.0,2.26,2.49,Matches,8fcf0e12
683,Mahmoud Al-Mardi,MF,jo Jordan,32-284,1993,3,130.0,43.0,48.1,1.4,1,75.0,0,2,28.0,0,0.0,2.0,3.0,-1.0,-0.69,1.88,Matches,1eedc1ea
684,Jearl Margaritha,FWMF,cw Curaçao,26-098,2000,2,41.0,21.0,15.2,0.5,0,,0,2,21.0,1,0.5,0.0,3.0,-3.0,-6.59,-4.62,Matches,be915a68
685,José María Giménez,DF,uy Uruguay,31-178,1995,0,,,,,0,,0,0,,3,,,,,,,Matches,f0da930c
686,Omar Marmoush,FWMF,eg Egypt,27-160,1999,5,326.0,65.0,67.9,3.6,3,90.0,1,2,28.0,0,1.2,4.0,5.0,-1.0,-0.28,-1.44,Matches,0e0102eb
687,Marquinhos,DF,br Brazil,32-064,1994,5,450.0,90.0,100.0,5.0,5,90.0,5,0,,0,2.0,10.0,4.0,6.0,1.2,,Matches,d5f2f82b
688,Ar'jany Martha,DFFW,cw Curaçao,22-316,2003,0,,,,,0,,0,0,,3,,,,,,,Matches,364f602a
689,Gabriel Martinelli,MF,br Brazil,25-029,2001,4,143.0,36.0,31.8,1.6,1,66.0,0,3,26.0,1,2.25,1.0,0.0,1.0,0.63,-0.84,Matches,48a5a5d6
690,Guillermo Martínez Ayala,FW,mx Mexico,31-124,1995,2,72.0,36.0,16.0,0.8,1,62.0,0,1,10.0,3,1.5,2.0,0.0,2.0,2.5,1.31,Matches,59146354
691,Cristian Martínez,MFFW,pa Panama,29-161,1997,3,242.0,81.0,89.6,2.7,3,81.0,2,0,,0,0.0,0.0,3.0,-3.0,-1.12,2.1,Matches,fdb15495
692,Emiliano Martínez,GK,ar Argentina,33-318,1992,7,690.0,99.0,100.0,7.7,7,99.0,7,0,,0,3.0,19.0,7.0,12.0,1.57,,Matches,7956236f
693,Emiliano Martínez,MF,uy Uruguay,26-334,1999,0,,,,,0,,0,0,,3,,,,,,,Matches,52061089
694,Lautaro Martínez,FW,ar Argentina,28-329,1997,7,310.0,44.0,44.9,3.4,4,60.0,0,3,24.0,0,3.0,12.0,3.0,9.0,2.61,1.9,Matches,f7036e1c
695,Lisandro Martínez,DF,ar Argentina,28-180,1998,6,581.0,97.0,84.2,6.5,6,97.0,5,0,,1,3.0,14.0,6.0,8.0,1.24,-2.06,Matches,bac46a10
696,Thapelo Maseko,MFFW,za South Africa,22-248,2003,3,242.0,81.0,67.2,2.7,3,81.0,0,0,,1,1.33,2.0,1.0,1.0,0.37,2.66,Matches,498d45f7
697,Melvin Mastil,GK,dz Algeria,26-148,2000,0,,,,,0,,0,0,,4,,,,,,,Matches,b2f66efb
698,Hazem Mastouri,FW,tn Tunisia,29-029,1997,1,89.0,89.0,33.0,1.0,1,89.0,0,0,,2,0.0,1.0,3.0,-2.0,-2.02,1.96,Matches,c88f913e
699,Arthur Masuaku,DF,cd Congo DR,32-252,1993,4,315.0,79.0,87.5,3.5,4,79.0,0,0,,0,1.0,4.0,4.0,0.0,0.0,0.0,Matches,57df7a11
700,Igor Matanović,FW,hr Croatia,23-108,2003,3,95.0,32.0,26.4,1.1,0,,0,3,32.0,1,1.0,2.0,4.0,-2.0,-1.89,-2.23,Matches,948e1292
701,Pape Matar Sarr,MF,sn Senegal,23-306,2002,2,67.0,34.0,17.2,0.7,0,,0,2,34.0,2,0.0,1.0,3.0,-2.0,-2.69,-3.52,Matches,feb5d972
702,Jean-Philippe Mateta,FW,fr France,29-019,1997,3,24.0,8.0,3.8,0.3,0,,0,3,8.0,4,3.0,1.0,0.0,1.0,3.75,2.12,Matches,50e6dc35
703,Thabang Matuludi,DF,za South Africa,27-184,1999,0,,,,,0,,0,0,,4,,,,,,,Matches,8a77ded2
704,Mauricio,MF,py Paraguay,25-056,2001,4,173.0,43.0,36.0,1.9,0,,0,4,43.0,1,0.5,1.0,1.0,0.0,0.0,0.88,Matches,bf4cbc22
705,Fiston Mayele,FW,cd Congo DR,32-023,1994,2,42.0,21.0,11.7,0.5,0,,0,2,21.0,2,1.5,3.0,0.0,3.0,6.43,7.28,Matches,0d113a00
706,Ibrahim Maza,MFFW,dz Algeria,20-235,2005,4,351.0,88.0,97.5,3.9,4,88.0,3,0,,0,1.0,5.0,9.0,-4.0,-1.03,-1.03,Matches,89b3bc5e
707,Noussair Mazraoui,DF,ma Morocco,28-245,1997,6,477.0,80.0,83.7,5.3,5,94.0,4,1,8.0,0,1.83,7.0,4.0,3.0,0.57,-0.4,Matches,b74277a0
708,Kylian Mbappé,FW,fr France,27-209,1998,7,605.0,86.0,96.0,6.7,7,86.0,3,0,,0,2.57,15.0,4.0,11.0,1.64,-1.96,Matches,42fd9c7f
709,Thalente Mbatha,MF,za South Africa,26-123,2000,4,260.0,65.0,72.2,2.9,2,90.0,2,2,40.0,0,1.0,2.0,3.0,-1.0,-0.35,0.55,Matches,f6272be9
710,Ibrahim Mbaye,MF,sn Senegal,18-174,2008,4,157.0,39.0,40.3,1.7,1,56.0,0,3,34.0,0,0.75,4.0,6.0,-2.0,-1.15,-2.31,Matches,201b4ee4
711,Chancel Mbemba,DF,cd Congo DR,31-343,1994,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,1.0,5.0,5.0,0.0,0.0,,Matches,e76cb9cc
712,Mbekezeli Mbokazi,DF,za South Africa,20-301,2005,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,1.0,2.0,4.0,-2.0,-0.5,,Matches,13398d42
713,Nathanaël Mbuku,MFFW,cd Congo DR,24-123,2002,3,143.0,48.0,39.7,1.6,2,67.0,0,1,9.0,1,1.0,2.0,1.0,1.0,0.63,1.04,Matches,46750e9c
714,Callum McCowatt,MF,nz New Zealand,27-078,1999,3,159.0,53.0,58.9,1.8,2,66.0,0,1,27.0,0,0.33,4.0,6.0,-2.0,-1.13,2.11,Matches,3fc42049
715,John McGinn,MF,sct Scotland,31-272,1994,3,259.0,86.0,95.9,2.9,3,86.0,0,0,,0,1.0,1.0,4.0,-3.0,-1.04,-1.04,Matches,90f91999
716,Scott McKenna,DF,sct Scotland,29-247,1996,1,90.0,90.0,33.3,1.0,1,90.0,1,0,,2,0.0,0.0,3.0,-3.0,-3.0,-3.0,Matches,4e5a4cbc
717,Weston McKennie,MF,us United States,27-323,1998,5,443.0,89.0,98.4,4.9,5,89.0,2,0,,0,1.8,11.0,7.0,4.0,0.81,13.67,Matches,01c3aff5
718,Mark McKenzie,DF,us United States,27-142,1999,1,90.0,90.0,20.0,1.0,1,90.0,1,0,,3,0.0,2.0,3.0,-1.0,-1.0,-2.0,Matches,a5f5d094
719,Kenny McLean,MF,sct Scotland,34-190,1992,3,118.0,39.0,43.7,1.3,1,90.0,1,2,14.0,0,1.0,0.0,3.0,-3.0,-2.29,-2.29,Matches,471f16b3
720,Scott McTominay,MF,sct Scotland,29-221,1996,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.0,1.0,4.0,-3.0,-1.0,,Matches,d93c2511
721,Brandon Mechele,DF,be Belgium,33-170,1993,6,570.0,95.0,100.0,6.3,6,95.0,6,0,,0,1.83,14.0,7.0,7.0,1.11,,Matches,0a6dbbf7
722,Facundo Medina,DF,ar Argentina,27-050,1999,4,257.0,64.0,37.2,2.9,3,85.0,1,1,1.0,3,3.0,5.0,1.0,4.0,1.4,-0.26,Matches,6f5ec8bb
723,Yaimar Medina,DFMF,ec Ecuador,21-254,2004,1,45.0,45.0,12.5,0.5,0,,0,1,45.0,3,0.0,0.0,0.0,0.0,0.0,0.57,Matches,1fe8ecf7
724,Hannibal Mejbri,MF,tn Tunisia,23-177,2003,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.0,2.0,12.0,-10.0,-3.33,,Matches,ca22ccb0
725,Luis Mejía,GK,pa Panama,35-123,1991,0,,,,,0,,0,0,,3,,,,,,,Matches,2390dcad
726,Santiago Mele,GK,uy Uruguay,28-314,1997,0,,,,,0,,0,0,,3,,,,,,,Matches,62849d22
727,Amar Memić,MF,ba Bosnia–Herz,25-178,2001,4,224.0,56.0,62.2,2.5,2,82.0,1,2,31.0,0,1.0,3.0,5.0,-2.0,-0.8,-0.14,Matches,918c187c
728,Memphis,FWMF,nl Netherlands,32-154,1994,3,54.0,18.0,13.8,0.6,0,,0,3,18.0,1,2.33,1.0,1.0,0.0,0.0,-1.61,Matches,8f696594
729,Sultan Mendash,MF,sa Saudi Arabia,31-273,1994,1,65.0,65.0,24.1,0.7,1,65.0,0,0,,2,1.0,0.0,0.0,0.0,0.0,1.76,Matches,8738a7a1
730,Lucas Mendes,DF,qa Qatar,36-014,1990,1,4.0,4.0,1.5,0.0,0,,0,1,4.0,2,0.0,0.0,1.0,-1.0,-22.5,-20.13,Matches,5169f27f
731,Nuno Mendes,DF,pt Portugal,24-028,2002,5,395.0,79.0,87.8,4.4,5,79.0,2,0,,0,1.6,8.0,2.0,6.0,1.37,3.0,Matches,f20e4cc9
732,Ryan Mendes,FWMF,cv Cabo Verde,36-190,1990,4,330.0,83.0,84.6,3.7,4,83.0,2,0,,0,0.75,3.0,3.0,0.0,0.0,1.5,Matches,ba6e01ab
733,Antoine Mendy,DF,sn Senegal,22-051,2004,0,,,,,0,,0,0,,4,,,,,,,Matches,3322e296
734,Édouard Mendy,GK,sn Senegal,34-138,1992,2,152.0,76.0,39.0,1.7,2,76.0,1,0,,0,0.0,2.0,6.0,-4.0,-2.37,-4.26,Matches,33887998
735,Gideon Mensah,DF,gh Ghana,27-364,1998,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,1.0,2.0,3.0,-1.0,-0.25,,Matches,9bdd8118
736,Mikel Merino,MF,es Spain,30-025,1996,7,153.0,22.0,24.3,1.7,1,59.0,0,6,16.0,0,2.71,4.0,0.0,4.0,2.35,0.84,Matches,d080ed5e
737,Lionel Messi,FW,ar Argentina,39-023,1987,7,620.0,89.0,89.9,6.9,6,98.0,5,1,31.0,0,3.0,17.0,6.0,11.0,1.6,0.31,Matches,d70ce98e
