Rk,Player,Pos,Squad,Age,Club,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Matches,-additional_-9999,Standard_Sh,Standard_SoT,Performance_TklW,Performance_Int,Playing Time_Min_play
11,Mohammad Abu Hasheesh,DF,jo Jordan,31-069,1.iq Al-Karma,1995,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,72c2fa7a,0.0,0.0,2.0,0.0,6.0
12,Mohannad Abu Taha,DF,jo Jordan,23-165,1.iq Al-Quwa Al-Jawiya,2003,3,3,264,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,5c4bac6c,1.0,0.0,2.0,6.0,264.0
13,Mo Abualnadi,DF,jo Jordan,25-159,1.my Selangor FA,2001,1,1,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,4bff62e4,0.0,0.0,0.0,0.0,71.0
14,Yazeed Abulaila,GK,jo Jordan,33-190,1.jo Al-Hussein SC,1993,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,5d11fc17,0.0,0.0,0.0,0.0,270.0
15,Mahmoud Abunada,GK,qa Qatar,26-162,1.qa Al Rayyan SC,2000,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,27e7e545,0.0,0.0,0.0,0.0,270.0
16,Elias Achouri,FWMF,tn Tunisia,27-157,1.dk FC Copenhagen,1999,3,0,43,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,4dd2a0be,3.0,1.0,2.0,0.0,43.0
17,Ché Adams,FW,sct Scotland,30-004,1.it Torino,1996,3,2,145,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,f2bf1b0f,1.0,1.0,1.0,0.0,145.0
18,Jayden Adams,MF,za South Africa,25-073,1.za Sundowns,2001,3,2,116,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,259affab,0.0,0.0,0.0,2.0,116.0
19,Tyler Adams,MF,us United States,27-153,1.eng Bournemouth,1999,4,4,341,3.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,2b09d998,0.0,0.0,5.0,8.0,341.0
20,Ricardo Adé,DF,ht Haiti,36-057,1.ec LDU Quito,1990,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,a9ee5e81,4.0,1.0,2.0,5.0,270.0
21,Ibrahim Adel,MF,eg Egypt,25-085,1.dk Nordsjælland,2001,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,4869216e,0.0,0.0,0.0,0.0,3.0
22,Simon Adingra,FWMF,ci Côte d'Ivoire,24-197,1.fr Monaco,2002,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,4dcec659,0.0,0.0,0.0,0.0,16.0
23,Jonas Adjetey,DF,gh Ghana,22-216,1.de Wolfsburg,2003,3,3,225,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,bdbf78cd,2.0,1.0,3.0,1.0,225.0
24,Michel Aebischer,MFFW,ch Switzerland,29-192,1.it Pisa,1997,4,2,156,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,f9c927de,2.0,1.0,1.0,0.0,156.0
25,Akram Afif,FWMF,qa Qatar,29-241,1.qa Al Sadd,1996,3,3,238,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,fd53d9e7,2.0,0.0,1.0,0.0,238.0
26,Emmanuel Agbadou,DF,ci Côte d'Ivoire,29-030,1.tr Beşiktaş,1997,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,75f1ed80,3.0,1.0,6.0,4.0,270.0
27,Rodrigo Aguirre,FW,uy Uruguay,31-289,1.mx América,1994,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,b5691f5d,0.0,0.0,0.0,0.0,1.0
28,Ali Ahmed,MF,ca Canada,25-280,2.eng Norwich City,2000,4,3,234,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,540a5be1,2.0,1.0,2.0,3.0,234.0
29,Homam Ahmed,DF,qa Qatar,26-326,2.es Cultural Leonesa,1999,2,2,122,1.4,0,1,1,0,0,0,0,1,0.0,0.74,0.74,0.0,0.74,Matches,a62fa158,1.0,0.0,1.0,3.0,122.0
30,Rayan Aït-Nouri,DF,dz Algeria,25-041,1.eng Manchester City,2001,4,3,284,3.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,9b398aea,1.0,0.0,13.0,5.0,284.0
31,Kristoffer Ajer,DF,no Norway,28-091,1.eng Brentford,1998,5,5,480,5.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,a8c0acb7,2.0,1.0,8.0,4.0,480.0
32,Manuel Akanji,DF,ch Switzerland,30-363,1.it Inter,1995,6,6,600,6.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,89ac64a6,1.0,1.0,9.0,6.0,600.0
33,Nathan Aké,DF,nl Netherlands,31-149,1.eng Manchester City,1995,3,2,170,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,eaeca114,1.0,0.0,0.0,4.0,170.0
34,Yunus Akgün,MF,tr Türkiye,26-010,1.tr Galatasaray,2000,2,1,88,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,1453e3cf,0.0,0.0,0.0,0.0,88.0
35,Maghnes Akliouche,MF,fr France,24-142,1.fr Monaco,2002,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,b625b241,0.0,0.0,0.0,0.0,8.0
36,Kerem Aktürkoğlu,FW,tr Türkiye,27-269,1.tr Fenerbahçe,1998,2,2,129,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,f28659fb,3.0,1.0,1.0,0.0,129.0
37,Ahmed Alaaeldin,FW,qa Qatar,33-167,1.qa Al Rayyan SC,1993,2,0,43,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,74fbbb3c,1.0,1.0,1.0,0.0,43.0
38,David Alaba,DF,at Austria,34-023,1.es Real Madrid,1992,4,4,275,3.1,0,1,1,0,0,0,0,0,0.0,0.33,0.33,0.0,0.33,Matches,05439de2,2.0,0.0,1.0,4.0,275.0
39,Kerim Alajbegović,MF,ba Bosnia–Herz,18-299,1.at RB Salzburg,2007,4,3,277,3.1,1,0,1,1,0,0,0,0,0.32,0.0,0.32,0.32,0.32,Matches,f3d9291e,4.0,1.0,0.0,2.0,277.0
40,Jordy Alcivar,MF,ec Ecuador,26-346,1.ec Independiente,1999,1,1,45,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,6e98c19f,1.0,0.0,1.0,0.0,45.0
41,Omar Alderete,DF,py Paraguay,29-203,1.eng Sunderland,1996,4,4,320,3.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,bb08bce9,1.0,0.0,0.0,2.0,320.0
42,Almoez Ali,FW,qa Qatar,29-332,1.qa Al Duhail SC,1996,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,bae045a9,1.0,1.0,0.0,0.0,19.0
43,Hussein Ali,DF,iq Iraq,24-138,1.pl Pogoń Szczecin,2002,2,2,162,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,b8a919ad,1.0,0.0,2.0,2.0,162.0
44,Mohanad Ali,FW,iq Iraq,26-027,1.ae Dibba Al Fujairah,2000,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,f929049b,0.0,0.0,0.0,0.0,13.0
45,Taha Ali,FWMF,se Sweden,28-016,1.se Malmö,1998,2,0,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,da4b8a4e,0.0,0.0,0.0,0.0,37.0
46,Khojiakbar Alijonov,MF,uz Uzbekistan,29-089,1.uz Pakhtakor Tashkent FK,1997,2,1,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,e53cbd7a,0.0,0.0,2.0,5.0,135.0
47,Ali Alipour,FW,ir IR Iran,30-248,1.ir Persepolis,1995,1,0,38,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,488ee64c,1.0,0.0,1.0,1.0,38.0
48,Alisson,GK,br Brazil,33-288,1.eng Liverpool,1992,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,7a2e46a8,0.0,0.0,0.0,0.0,450.0
49,Thiago Almada,MF,ar Argentina,25-082,1.es Atlético Madrid,2001,5,3,241,2.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,27f33438,5.0,2.0,4.0,0.0,241.0
50,Miguel Almirón,MFFW,py Paraguay,32-157,1.us Atlanta Utd,1994,4,4,282,3.1,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,Matches,862a1c15,4.0,0.0,7.0,3.0,282.0
51,Júnior Alonso,DF,py Paraguay,33-158,1.br Atlético Mineiro,1993,5,4,390,4.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,b18a3023,3.0,1.0,9.0,4.0,390.0
52,Barış Alper Yılmaz,MFFW,tr Türkiye,26-055,1.tr Galatasaray,2000,3,2,179,2.0,1,1,2,1,0,0,0,0,0.5,0.5,1.01,0.5,1.01,Matches,414b2ce4,2.0,1.0,0.0,0.0,179.0
53,Roberto Alvarado,FWMF,mx Mexico,27-313,1.mx Guadalajara,1998,5,5,428,4.8,0,3,3,0,0,0,0,0,0.0,0.63,0.63,0.0,0.63,Matches,ff871e14,5.0,0.0,3.0,2.0,428.0
54,Edson Álvarez,MFDF,mx Mexico,28-266,1.eng West Ham,1997,4,2,240,2.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,8b3ab7ad,2.0,0.0,6.0,3.0,240.0
55,Julián Álvarez,FW,ar Argentina,26-167,1.es Atlético Madrid,2000,7,4,501,5.6,1,0,1,1,0,0,0,0,0.18,0.0,0.18,0.18,0.18,Matches,15ab5a2b,11.0,5.0,4.0,3.0,501.0
56,Ayoube Amaimouni,MF,ma Morocco,21-229,1.de Frankfurt,2004,2,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,c5a07a5e,2.0,1.0,1.0,0.0,18.0
57,Zeki Amdouni,FWMF,ch Switzerland,25-225,1.eng Burnley,2000,4,0,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,2ee5b0c9,1.0,0.0,1.0,0.0,73.0
58,Michael Amir Murillo,DFMF,pa Panama,30-156,1.tr Beşiktaş,1996,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,349cae8f,5.0,1.0,3.0,1.0,270.0
59,Nadiem Amiri,MF,de Germany,29-263,1.de Mainz 05,1996,2,0,42,0.5,0,1,1,0,0,0,0,0,0.0,2.14,2.14,0.0,2.14,Matches,555d5edd,2.0,1.0,1.0,0.0,42.0
60,Amir Al Ammari,MF,iq Iraq,28-355,1.pl Cracovia,1997,3,3,247,2.7,0,1,1,0,0,0,2,0,0.0,0.36,0.36,0.0,0.36,Matches,9f65be73,0.0,0.0,1.0,2.0,247.0
61,Azizbek Amonov,FW,uz Uzbekistan,28-260,1.uz FK Bukhara Nurafshon,1997,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,f487314f,1.0,0.0,0.0,0.0,14.0
62,Mohamed Amoura,FWMF,dz Algeria,26-069,1.de Wolfsburg,2000,1,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,6597f8b6,0.0,0.0,0.0,0.0,27.0
63,Sofyan Amrabat,MF,ma Morocco,29-330,1.es Real Betis,1996,3,1,147,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,5a2cb25d,0.0,0.0,1.0,2.0,147.0
64,Abdulelah Al-Amri,DF,sa Saudi Arabia,29-183,,1997,3,3,239,2.7,1,0,1,1,0,0,1,0,0.38,0.0,0.38,0.38,0.38,Matches,fd0affe3,4.0,2.0,2.0,4.0,239.0
65,Youssef Amyn,MF,iq Iraq,22-330,1.cy AEK Larnaca,2003,1,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,10c12f22,0.0,0.0,0.0,0.0,31.0
66,Elliot Anderson,MF,eng England,23-253,1.eng Nottingham,2002,7,7,620,6.9,0,1,1,0,0,0,1,0,0.0,0.15,0.15,0.0,0.15,Matches,de31038e,7.0,1.0,18.0,8.0,620.0
67,Andrés Andrade Cedeño,DF,pa Panama,27-274,1.at LASK,1998,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,6ea23758,0.0,0.0,3.0,3.0,270.0
68,Fredrik André Bjørkan,DF,no Norway,27-330,1.no Bodø/Glimt,1998,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,3724baa1,0.0,0.0,1.0,2.0,45.0
69,Nilson Angulo,MF,ec Ecuador,23-028,1.eng Sunderland,2003,4,2,218,2.4,1,0,1,1,0,0,0,0,0.41,0.0,0.41,0.41,0.41,Matches,a9b9d89c,2.0,2.0,1.0,2.0,218.0
70,Waldemar Anton,DFMF,de Germany,29-362,1.de Dortmund,1996,2,0,50,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,5e66fa06,1.0,1.0,1.0,2.0,50.0
71,Jeremy Antonisse,FWMF,cw Curaçao,24-110,1.gr AE Kifisia,2002,2,0,75,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,6011e63a,1.0,0.0,1.0,0.0,75.0
72,Houssem Aouar,MF,dz Algeria,28-017,1.sa Al-Ittihad,1998,3,2,173,1.9,0,2,2,0,0,0,0,0,0.0,1.04,1.04,0.0,1.04,Matches,a5db0bec,3.0,1.0,1.0,0.0,173.0
73,Oswin Appollis,MFFW,za South Africa,24-326,1.za Orlando Pirates,2001,4,3,255,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,e8933eb0,4.0,1.0,3.0,1.0,255.0
74,Yazan Al-Arab,DF,jo Jordan,30-167,1.kr FC Seoul,1996,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,32878a09,0.0,0.0,1.0,11.0,270.0
75,Maxi Araújo,FWMF,uy Uruguay,26-152,1.pt Sporting CP,2000,3,3,250,2.8,2,1,3,2,0,0,0,0,0.72,0.36,1.08,0.72,1.08,Matches,f9ab3f4a,4.0,3.0,0.0,0.0,250.0
76,Tomás Araújo,DF,pt Portugal,24-062,1.pt Benfica,2002,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,0fa11d7d,0.0,0.0,0.0,1.0,90.0
77,Telmo Arcanjo,MF,cv Cabo Verde,25-026,1.pt Vit. Guimarães,2001,2,1,57,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,c692cef2,0.0,0.0,0.0,0.0,57.0
78,Álex Arce,FW,py Paraguay,31-031,1.ar Ind. Rivadavia,1995,2,0,53,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,10411db2,0.0,0.0,1.0,0.0,53.0
79,Carlens Arcus,MFDF,ht Haiti,30-019,1.fr Angers,1996,3,2,146,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,5e837126,0.0,0.0,3.0,3.0,146.0
80,Max Arfsten,MF,us United States,25-089,1.us Columbus Crew,2001,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,668f881e,0.0,0.0,0.0,0.0,1.0
81,Jhon Arias,MF,co Colombia,28-299,1.br Palmeiras,1997,5,5,377,4.2,1,0,1,1,0,0,1,0,0.24,0.0,0.24,0.24,0.24,Matches,86d96066,9.0,4.0,9.0,2.0,377.0
82,Santiago Arias,DF,co Colombia,34-185,1.ar Independiente,1992,1,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,fdd60087,0.0,0.0,2.0,1.0,86.0
83,Marko Arnautović,FW,at Austria,37-089,1.rs Red Star,1989,4,1,144,1.6,2,0,2,1,1,1,1,0,1.25,0.0,1.25,0.62,0.62,Matches,00459419,3.0,3.0,0.0,0.0,144.0
84,Benjamin Asare,GK,gh Ghana,34-004,1.gh Accra Hearts of Oak,1992,3,2,225,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,4bb65492,0.0,0.0,0.0,0.0,225.0
85,Emam Ashour,MF,eg Egypt,28-147,1.eg Al Ahly,1998,5,5,362,4.0,2,0,2,2,0,0,0,0,0.5,0.0,0.5,0.5,0.5,Matches,31b7d437,10.0,2.0,2.0,4.0,362.0
86,Rustam Ashurmatov,DF,uz Uzbekistan,30-010,1.ir Esteghlal,1996,3,3,256,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,a0ecd397,0.0,0.0,2.0,7.0,256.0
87,Lawrence Ati-Zigi,GK,gh Ghana,29-230,1.ch St. Gallen,1996,2,2,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,a12402c3,0.0,0.0,0.0,0.0,135.0
88,Marwan Attia,MF,eg Egypt,27-339,1.eg Al Ahly,1998,5,4,434,4.8,0,1,1,0,0,0,2,0,0.0,0.21,0.21,0.0,0.21,Matches,1ea3d7ec,4.0,0.0,3.0,3.0,434.0
89,Fredrik Aursnes,MFDF,no Norway,30-219,1.pt Benfica,1995,6,3,304,3.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,f0677ed7,2.0,0.0,8.0,1.0,304.0
90,Gabriel Ávalos,FW,py Paraguay,35-278,1.ar Independiente,1990,4,2,141,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,b6781b67,1.0,0.0,2.0,0.0,141.0
91,Yasin Ayari,MF,se Sweden,22-284,1.eng Brighton,2003,4,4,339,3.8,2,0,2,2,0,0,1,0,0.53,0.0,0.53,0.53,0.53,Matches,f173303a,7.0,3.0,4.0,3.0,339.0
92,Oğuz Aydın,DF,tr Türkiye,25-263,1.tr Fenerbahçe,2000,1,1,89,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,a7b98226,0.0,0.0,6.0,0.0,89.0
93,Jordan Ayew,FW,gh Ghana,34-309,2.eng Leicester City,1991,4,4,300,3.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,da052c14,0.0,0.0,3.0,1.0,300.0
94,Kaan Ayhan,DFMF,tr Türkiye,31-249,1.tr Galatasaray,1994,1,0,3,0.0,1,0,1,1,0,0,0,0,30.0,0.0,30.0,30.0,30.0,Matches,2200181e,1.0,1.0,0.0,0.0,3.0
95,Neil El Aynaoui,MF,ma Morocco,25-015,1.it Roma,2001,6,6,562,6.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,17e1261b,7.0,2.0,9.0,8.0,562.0
96,Ali Azaizeh,MF,jo Jordan,22-095,1.sa Al-Shabab,2004,3,1,54,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,3a46ac67,2.0,0.0,3.0,0.0,54.0
97,Juninho Bacuna,MF,cw Curaçao,28-344,1.nl Volendam,1997,3,3,254,2.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches,aaf1bf05,5.0,1.0,4.0,5.0,254.0
98,Leandro Bacuna,MF,cw Curaçao,34-330,2.tr 76 Iğdır Belediyespor,1991,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,9dc69d38,6.0,1.0,3.0,0.0,270.0
99,Álex Baena,MFFW,es Spain,24-362,1.es Atlético Madrid,2001,6,6,407,4.5,1,1,2,1,0,0,1,0,0.22,0.22,0.44,0.22,0.44,Matches,518f2234,12.0,5.0,5.0,2.0,407.0
100,Esmir Bajraktarevic,MF,ba Bosnia–Herz,21-129,1.nl PSV,2005,4,2,230,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,dff24174,3.0,2.0,0.0,3.0,230.0
101,Cédric Bakambu,FW,cd Congo DR,35-097,1.es Real Betis,1991,3,3,190,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,0af4dcf0,3.0,0.0,0.0,0.0,190.0
102,Fabián Balbuena,DF,py Paraguay,34-328,1.br Grêmio,1991,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,3626f7d9,0.0,0.0,0.0,0.0,1.0
103,Folarin Balogun,FW,us United States,25-014,1.fr Monaco,2001,4,4,312,3.5,3,0,3,3,0,0,1,1,0.87,0.0,0.87,0.87,0.87,Matches,31822f8c,14.0,5.0,0.0,1.0,312.0
104,Simon Banza,FWMF,cd Congo DR,29-338,1.ae Al Jazira Club,1996,2,0,40,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,be47b750,0.0,0.0,1.0,0.0,40.0
105,Yoel Bárcenas,MF,pa Panama,32-267,1.mx Mazatlán,1993,3,3,249,2.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,b39849eb,2.0,0.0,0.0,2.0,249.0
106,Valentín Barco,DFMF,ar Argentina,21-359,1.fr Strasbourg,2004,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,b9f282ec,0.0,0.0,0.0,0.0,20.0
107,Bradley Barcola,MF,fr France,23-318,1.fr PSG,2002,7,4,339,3.8,2,1,3,2,0,0,1,0,0.53,0.27,0.8,0.53,0.8,Matches,a0d55a09,10.0,5.0,4.0,1.0,339.0
108,Abdülkerim Bardakcı,DF,tr Türkiye,31-313,1.tr Galatasaray,1994,3,3,265,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,5d9cff53,3.0,1.0,5.0,2.0,265.0
109,Ivan Bašić,MF,ba Bosnia–Herz,24-078,1.kz FC Astana,2002,3,2,179,2.0,0,1,1,0,0,0,0,0,0.0,0.5,0.5,0.0,0.5,Matches,9b0a0d51,4.0,0.0,1.0,3.0,179.0
110,Ahmed Basil,GK,iq Iraq,29-332,1.iq Al-Shorta,1996,2,2,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,3bf9e631,0.0,0.0,0.0,0.0,135.0
111,Martin Baturina,MFFW,hr Croatia,23-151,1.it Como,2003,4,4,321,3.6,1,0,1,1,0,0,0,0,0.28,0.0,0.28,0.28,0.28,Matches,d1eda5f0,3.0,1.0,2.0,1.0,321.0
112,Ibrahim Bayesh,MFFW,iq Iraq,26-077,1.ae Al Dhafra SCC,2000,3,3,235,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,2f2003ba,1.0,0.0,4.0,1.0,235.0
113,Samed Baždar,FW,ba Bosnia–Herz,22-167,1.de Gladbach,2004,1,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,e59c9d0d,0.0,0.0,0.0,0.0,29.0
114,Riechedly Bazoer,DF,cw Curaçao,29-278,1.tr Konyaspor,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,da59a197,0.0,0.0,1.0,1.0,90.0
115,Patrick Beach,GK,au Australia,22-345,1.au Melb City,2003,4,4,388,4.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,3cc64624,0.0,0.0,0.0,0.0,388.0
116,Aziz Behich,MF,au Australia,35-213,1.au Melb City,1990,3,2,217,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,b6867b96,1.0,1.0,4.0,1.0,217.0
117,Maximilian Beier,FWMF,de Germany,23-273,1.de Dortmund,2002,1,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,5db45ee5,0.0,0.0,0.0,0.0,27.0
118,Alireza Beiranvand,GK,ir IR Iran,33-299,1.ir Tractor,1992,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,6ca0b04a,0.0,0.0,0.0,0.0,270.0
119,Zineddine Belaïd,DF,dz Algeria,27-119,1.dz JS Kabylie,1999,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,b2562589,0.0,0.0,0.0,0.0,25.0
120,Rafik Belghali,DF,dz Algeria,24-040,1.it Hellas Verona,2002,4,4,331,3.7,1,0,1,1,0,0,0,0,0.27,0.0,0.27,0.27,0.27,Matches,0abcb968,3.0,1.0,3.0,1.0,331.0
121,Joe Bell,MF,nz New Zealand,27-081,1.no Viking,1999,3,3,243,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,7825847e,1.0,0.0,2.0,4.0,243.0
122,Jean-Ricner Bellegarde,MF,ht Haiti,28-020,1.eng Wolves,1998,3,3,260,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,10f0fdd3,6.0,0.0,2.0,3.0,260.0
123,Jude Bellingham,MF,eng England,23-018,1.es Real Madrid,2003,7,7,602,6.7,6,1,7,6,0,0,1,0,0.9,0.15,1.05,0.9,1.05,Matches,57d88cf9,19.0,13.0,10.0,3.0,602.0
124,Mortadha Ben Ouanes,DFMF,tn Tunisia,32-015,1.tr Kasımpaşa,1994,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,1798891a,0.0,0.0,0.0,0.0,23.0
125,Anis Ben Slimane,MFFW,tn Tunisia,25-123,2.eng Norwich City,2001,3,3,240,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,9ade9ce1,1.0,1.0,2.0,2.0,240.0
126,Oussama Benbot,GK,dz Algeria,31-279,1.dz USM Alger,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,dcae580c,0.0,0.0,0.0,0.0,90.0
127,Nadhir Benbouali,FW,dz Algeria,26-091,1.hu Győr,2000,1,0,45,0.5,1,0,1,1,0,0,0,0,2.0,0.0,2.0,2.0,2.0,Matches,cd25f2b3,2.0,2.0,1.0,0.0,45.0
